Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Round
OT,76,334,5.56,25.0,23,94.0,8.48,4.98,6
TE,74,253,4.97,29.0,21,104.0,7.29,4.49,8
CB,74,206,4.55,34.0,17,123.0,7.18,4.15,1
OLB,72,237,4.72,31.0,21,112.0,7.96,4.39,8
CB,69,175,4.44,35.0,17,119.0,7.03,4.14,4
OT,78,312,5.34,28.0,20,96.0,7.72,4.73,7
S,72,208,4.62,35.0,10,114.0,6.92,4.32,7
CB,70,199,4.44,37.5,16,116.0,6.81,4.04,4
CB,73,192,4.43,38.5,16,124.0,6.7,3.99,2
CB,71,178,4.5,34.5,14,122.0,6.87,4.2,5
TE,78,270,4.78,33.5,23,123.0,6.94,4.08,1
S,73,207,4.62,39.5,15,119.0,6.48,4.29,2
OG,76,302,5.07,31.5,17,103.0,7.76,4.58,6
ILB,74,237,4.78,31.5,21,111.0,7.17,4.33,4
DE,76,274,5.09,29.0,26,105.0,7.68,4.49,2
S,73,201,4.49,33.0,12,115.0,7.06,4.09,6
QB,76,211,5.28,24.5,17,99.0,7.2,4.38,6
DT,76,309,5.19,28.5,28,99.0,7.82,4.7,8
RB,71,216,4.66,30.0,18,117.0,6.64,4.08,8
RB,72,217,4.72,31.0,18,107.0,7.17,4.39,8
S,70,204,4.59,36.0,14,116.0,6.93,4.01,2
QB,75,218,5.01,29.0,18,101.0,7.54,4.87,8
QB,74,208,4.97,35.3,17,100.0,7.46,4.34,6
OLB,75,244,4.47,38.0,20,119.0,7.33,4.13,1
QB,76,206,5.03,28.5,17,107.0,7.46,4.42,8
CB,71,202,4.53,36.0,14,117.0,7.18,4.39,8
OG,77,297,5.16,31.0,28,100.0,7.82,4.48,4
QB,75,224,4.74,36.5,19,119.0,6.94,4.23,3
DE,73,283,5.06,28.0,22,106.0,7.82,4.75,4
S,68,190,4.5,41.0,16,121.0,6.75,4.19,4
RB,70,215,4.56,38.5,16,128.0,6.84,4.2,3
OT,79,304,5.08,31.0,28,103.0,7.65,4.65,4
DT,73,283,5.25,27.5,25,108.0,7.98,4.65,3
OG,77,303,5.15,31.5,29,100.0,7.77,4.86,2
OT,77,334,5.05,30.5,24,102.0,7.58,4.73,2
WR,72,191,4.37,37.5,15,125.0,6.76,4.09,3
WR,72,211,4.61,32.5,17,110.0,6.79,4.1,8
OG,76,322,5.4,28.0,27,101.0,8.15,4.97,2
WR,71,192,4.41,34.0,16,115.0,6.89,4.39,3
OT,76,291,5.49,33.0,27,103.0,8.14,4.84,8
DE,75,276,5.0,35.5,25,121.0,7.65,4.45,8
DT,75,277,5.22,28.0,23,108.0,7.41,4.49,8
CB,71,192,4.68,38.0,13,111.0,7.1,4.17,8
CB,73,197,4.44,39.0,16,125.0,6.34,3.94,8
WR,75,217,4.74,33.0,18,115.0,7.2,4.24,8
TE,79,268,5.06,30.0,13,108.0,7.33,4.67,8
RB,68,189,4.81,32.0,13,109.0,7.04,4.47,8
OG,76,309,5.66,26.0,26,92.0,8.51,5.0,8
WR,73,199,4.55,34.0,16,117.0,6.96,4.16,3
DT,75,314,4.99,31.5,19,101.0,7.4,4.57,8
DT,74,314,5.28,27.5,27,96.0,7.67,4.8,8
RB,71,215,4.66,30.0,13,115.0,7.34,4.41,3
FB,71,260,4.99,28.0,22,104.0,7.88,4.81,4
DE,76,260,4.73,34.0,24,115.0,6.95,4.28,2
WR,72,190,4.51,33.0,15,108.0,6.63,3.94,8
QB,71,207,4.92,31.0,17,106.0,7.3,4.45,8
DE,76,243,4.76,34.0,22,115.0,7.51,4.56,8
TE,76,249,4.72,37.0,14,116.0,6.92,4.16,8
DE,76,271,4.75,33.0,24,114.0,7.21,4.15,1
RB,71,201,4.43,34.5,19,117.0,6.84,4.36,8
WR,70,198,4.55,37.0,16,121.0,6.88,4.06,8
DE,76,280,4.78,37.0,32,117.0,7.07,4.27,6
S,72,188,4.5,35.5,14,124.0,6.91,4.38,5
DE,76,281,4.73,34.5,31,114.0,7.2,4.41,3
FB,75,253,4.85,27.0,18,116.0,7.46,4.52,7
S,69,186,4.56,37.0,21,124.0,6.6,3.9,8
TE,75,249,4.62,32.5,22,113.0,7.15,4.3,6
WR,75,199,4.56,37.5,16,121.0,7.03,4.29,4
OLB,76,243,4.65,34.0,21,120.0,6.9,4.28,5
OLB,73,221,4.56,33.0,21,115.0,6.97,4.19,2
CB,71,188,4.62,32.0,16,117.0,7.3,4.3,8
DT,77,316,5.31,29.5,24,98.0,8.0,5.03,6
OT,76,338,5.85,23.0,20,94.0,7.98,4.82,8
CB,73,214,4.94,33.5,19,116.0,7.38,4.24,8
OLB,72,233,4.56,36.0,22,120.0,7.22,4.35,2
S,72,189,4.53,38.5,15,118.0,6.86,4.2,7
FB,72,253,4.78,28.5,25,108.0,7.08,4.34,7
DT,74,307,4.87,30.0,27,105.0,7.37,4.6,8
DE,75,297,4.9,31.0,30,111.0,7.63,4.62,2
OLB,75,253,4.97,31.5,20,109.0,7.12,4.21,5
RB,68,191,4.44,38.0,18,123.0,6.62,3.82,8
DE,74,271,5.03,32.0,23,111.0,7.86,4.51,8
RB,72,237,4.66,34.5,21,118.0,7.48,4.44,8
WR,73,201,4.54,36.0,16,116.0,7.57,4.41,8
RB,72,197,4.5,32.0,17,125.0,6.97,4.07,6
FB,70,238,4.81,30.0,20,109.0,7.27,4.36,8
CB,69,186,4.34,39.0,16,121.0,6.75,4.01,6
CB,72,190,4.53,34.5,15,114.0,6.73,4.25,7
CB,70,190,4.5,37.5,16,119.0,7.12,4.25,3
OG,73,312,5.4,29.0,20,94.0,7.94,4.63,8
WR,73,215,4.54,34.5,18,116.0,7.14,4.21,8
DT,74,305,4.99,30.0,35,101.0,6.85,4.16,1
DE,76,281,5.09,29.0,24,108.0,7.0,4.32,2
CB,71,186,4.56,36.3,16,122.83,6.98,4.13,7
DE,75,254,5.1,34.0,21,119.0,7.32,4.43,8
QB,75,216,5.2,27.5,18,99.0,7.17,4.41,6
DT,77,296,5.05,31.5,19,105.0,7.69,4.72,6
RB,73,242,4.6,35.5,24,125.0,7.15,4.14,8
OG,75,320,5.62,25.5,24,94.0,8.51,5.22,6
S,72,198,4.51,38.0,16,123.0,6.91,4.14,8
OG,78,310,5.25,29.0,26,107.0,7.9,4.66,8
OG,76,345,5.56,28.0,35,99.0,8.07,4.99,5
DT,76,285,4.97,28.0,26,105.0,7.51,4.76,8
S,72,215,4.6,38.0,12,121.0,6.96,4.17,7
DT,72,293,5.03,28.5,26,102.0,7.71,4.64,4
OLB,74,247,4.95,32.0,17,113.0,7.27,4.39,8
TE,76,248,4.63,38.5,13,125.0,7.33,4.43,8
OG,76,330,5.46,31.0,25,104.0,7.91,4.76,3
RB,73,221,4.62,37.5,29,121.0,6.81,4.16,8
RB,70,214,4.41,41.5,23,131.0,6.82,3.93,4
S,73,200,4.55,36.5,15,120.0,6.96,4.31,8
CB,69,183,4.53,36.0,17,116.0,6.63,3.95,3
FB,72,251,4.84,35.0,24,119.0,7.37,4.44,8
S,73,221,4.71,33.5,8,113.0,7.08,4.38,2
OG,74,305,5.43,28.0,26,103.0,7.54,4.6,7
WR,73,180,4.72,28.5,14,106.0,7.11,4.38,8
DT,76,300,5.08,30.0,45,110.0,7.46,4.37,6
WR,73,202,4.56,35.5,16,125.0,7.3,4.25,7
QB,72,202,5.02,27.0,16,97.0,7.28,4.24,8
DT,73,294,5.0,36.0,28,108.0,7.44,4.56,8
WR,74,182,4.61,36.5,15,122.0,7.16,4.26,8
ILB,76,259,4.7,35.0,22,118.0,6.86,4.06,3
CB,69,194,4.54,37.5,16,120.0,6.9,4.09,3
CB,69,184,4.44,35.5,20,117.0,6.73,4.0,5
RB,71,206,4.63,32.0,17,108.0,7.08,4.12,8
OT,76,328,5.31,26.0,23,97.0,7.72,4.71,3
DT,76,289,5.09,27.5,22,102.0,7.73,4.61,4
RB,72,212,4.69,33.0,17,120.0,6.89,4.15,7
C,75,298,5.12,34.0,25,110.0,7.46,4.43,2
DE,77,284,4.99,30.5,27,113.0,7.49,4.52,7
OG,75,295,5.39,26.0,18,97.0,7.84,4.78,5
ILB,73,246,4.97,27.5,24,110.0,7.37,4.43,8
WR,75,203,4.81,35.5,17,117.0,7.01,4.24,8
WR,72,196,4.57,36.0,16,117.0,7.16,4.11,8
OG,75,320,5.45,24.5,34,94.0,8.37,5.06,8
WR,73,201,4.52,37.5,16,129.0,6.91,4.09,5
RB,73,231,4.57,36.0,23,117.0,7.18,4.34,4
ILB,74,250,4.77,33.0,18,113.0,6.93,4.17,1
FB,72,221,4.65,37.5,23,117.0,7.05,4.21,5
WR,75,216,4.6,34.5,18,119.0,7.06,4.17,1
RB,68,182,4.5,36.0,18,121.0,6.9,4.14,5
S,73,183,4.56,37.5,15,123.0,7.04,4.1,4
OT,76,317,5.34,25.5,27,98.0,7.82,4.74,4
WR,70,175,4.43,37.5,14,123.0,6.96,4.04,2
TE,76,263,5.03,28.0,23,106.0,7.37,4.47,8
C,75,277,5.06,27.5,17,94.0,7.59,4.72,8
ILB,73,235,4.72,34.0,16,114.0,7.3,4.24,8
S,73,208,4.63,35.0,17,115.0,6.81,4.21,7
QB,75,229,4.81,33.5,19,111.0,7.12,4.16,1
WR,74,205,4.66,39.5,17,129.0,6.93,4.13,6
OLB,75,261,4.9,30.5,20,111.0,7.75,4.52,8
OLB,74,233,4.75,32.0,18,111.0,7.43,4.45,7
CB,70,197,4.57,37.0,16,126.0,6.66,4.0,3
RB,72,225,4.5,37.0,23,115.0,6.92,4.4,3
OT,78,333,5.59,26.0,22,95.0,8.15,5.13,4
QB,72,215,4.91,25.5,18,100.0,7.34,4.21,7
OT,78,308,5.5,25.0,22,94.0,8.33,5.0,8
QB,75,222,5.37,26.5,18,98.0,7.8,4.78,3
DE,76,283,5.13,30.0,18,101.0,7.91,4.68,6
OT,75,299,5.37,26.5,20,99.0,7.49,4.88,5
C,74,293,5.19,29.5,17,106.0,7.66,4.62,8
DT,76,312,5.09,29.5,25,94.0,7.72,4.72,2
OG,77,314,5.31,29.5,25,101.0,8.31,4.76,8
RB,73,232,4.68,37.0,19,124.0,7.21,4.31,8
CB,72,202,4.5,37.0,10,116.0,6.97,4.21,4
RB,67,199,4.6,32.0,12,118.0,6.63,4.3,8
OLB,75,241,4.75,32.5,20,111.0,7.33,4.38,7
OG,74,308,5.34,25.0,24,92.0,7.78,4.69,7
CB,70,193,4.5,34.0,11,116.0,7.45,4.24,6
DT,74,316,5.13,28.5,24,102.0,7.78,4.6,7
FB,76,253,4.81,37.5,21,114.0,6.72,4.3,4
CB,73,195,4.53,35.0,5,120.0,6.89,4.17,2
OT,77,318,5.65,22.5,18,98.0,8.48,4.81,7
WR,74,180,4.66,33.0,14,119.0,7.18,4.1,8
OLB,72,237,4.6,36.0,24,117.0,7.08,4.09,3
ILB,74,246,4.84,34.5,20,115.0,7.21,4.27,4
ILB,72,247,4.87,30.0,24,112.0,7.08,4.26,3
S,73,198,4.57,35.0,13,115.0,7.18,4.29,8
ILB,72,245,5.18,29.5,20,108.0,7.51,4.58,8
OT,77,320,5.37,27.5,24,100.0,7.87,4.83,2
FB,72,249,5.0,32.5,19,109.0,8.38,4.85,4
RB,70,204,4.78,33.0,13,113.0,7.18,4.47,8
TE,75,250,4.78,38.0,24,115.0,6.84,4.14,5
RB,67,204,4.6,35.0,13,111.0,7.14,4.14,7
OG,75,318,5.37,27.0,22,90.0,7.91,4.84,7
WR,73,199,4.43,37.0,16,118.0,7.15,4.18,1
DE,74,270,4.56,38.5,23,120.0,7.47,4.42,6
OG,75,300,5.22,29.5,23,100.0,7.99,4.65,7
OT,76,305,5.28,26.0,16,104.0,7.99,4.73,4
S,73,194,4.6,37.5,15,123.0,6.95,4.29,2
DT,77,310,5.26,28.5,19,99.0,7.72,4.6,5
DT,78,296,5.09,29.0,25,99.0,7.82,4.72,8
OG,77,297,5.16,27.0,21,96.0,8.18,4.95,8
ILB,72,249,4.65,32.0,24,109.0,7.23,4.3,3
OLB,76,258,4.59,34.0,27,122.0,6.94,4.18,1
CB,71,196,4.53,36.5,14,121.0,7.09,4.16,7
OG,76,306,5.2,28.5,14,108.0,7.54,4.42,8
OT,80,326,5.22,27.5,29,101.0,7.68,4.68,2
WR,66,171,4.55,32.5,14,106.0,6.61,3.84,5
DT,73,307,5.1,30.5,29,105.0,7.97,4.56,3
CB,69,180,4.42,35.5,17,122.0,6.76,3.98,2
TE,74,228,4.78,31.0,19,110.0,7.42,4.22,5
TE,76,254,4.66,32.5,21,121.0,6.97,4.18,5
CB,69,179,4.51,35.0,11,115.0,7.21,4.27,6
RB,72,195,4.68,32.5,16,118.0,7.05,4.24,8
CB,73,213,4.61,38.5,14,118.0,6.96,4.53,8
WR,73,218,4.62,37.5,18,124.0,6.91,4.09,3
OT,76,332,5.26,29.0,28,97.0,7.78,4.72,2
WR,71,180,4.59,36.0,14,123.0,7.22,4.16,6
S,70,206,4.72,31.5,15,108.0,7.15,4.65,4
DT,75,282,4.9,30.5,24,111.0,7.22,4.25,4
DT,74,290,5.21,30.5,23,109.0,7.64,4.61,6
RB,71,216,4.84,29.5,15,112.0,7.15,4.41,8
QB,75,229,4.91,34.0,19,108.0,7.71,4.59,6
WR,75,191,4.53,33.0,15,130.0,7.09,4.18,8
DE,74,278,4.94,29.5,27,106.0,7.2,4.47,5
RB,69,194,4.62,31.0,15,111.0,6.98,4.19,8
CB,70,192,4.44,39.5,14,121.0,6.78,3.9,1
OG,78,293,5.11,33.5,20,109.0,7.4,4.3,8
TE,76,255,4.76,33.0,22,106.0,7.12,4.19,5
OT,77,310,5.37,27.0,25,99.0,8.27,4.67,1
S,74,206,4.56,40.0,22,126.0,7.14,4.2,2
CB,74,204,4.53,37.5,17,122.0,7.39,4.21,2
QB,72,227,4.85,29.5,19,102.0,7.55,4.38,8
DE,76,270,4.83,34.5,25,110.0,7.32,4.28,4
ILB,73,234,4.64,38.5,24,124.0,7.25,4.5,2
DT,73,319,5.32,28.0,17,98.0,8.07,4.71,4
RB,69,207,4.38,39.5,13,130.0,7.08,4.25,1
WR,71,191,4.43,39.5,15,122.0,6.78,4.08,5
FB,70,255,4.97,33.5,32,108.0,7.81,4.38,8
S,72,205,4.74,35.5,17,115.0,7.14,4.2,8
CB,71,210,4.54,37.0,17,121.0,7.03,4.28,7
RB,70,194,4.36,35.5,18,119.0,7.05,4.09,5
OG,76,290,5.28,31.0,19,106.0,7.81,4.89,8
QB,74,221,4.9,29.5,18,105.0,7.54,4.48,6
OG,79,332,5.05,30.5,25,107.0,8.08,4.83,8
DE,76,270,4.75,36.5,26,119.0,6.82,4.08,2
S,71,207,4.59,32.5,17,117.0,7.29,4.24,3
OLB,73,243,4.67,34.0,19,116.0,7.16,4.28,8
QB,72,213,4.83,32.0,17,105.0,7.09,4.21,2
TE,76,255,4.73,36.0,14,117.0,7.37,4.18,3
CB,71,190,4.65,37.5,10,117.0,7.5,4.15,8
RB,72,226,4.53,40.0,11,123.0,7.08,4.06,4
DE,74,264,4.92,40.0,24,125.0,7.85,4.48,3
CB,70,173,4.57,36.0,11,121.0,7.22,4.4,5
TE,76,246,4.9,36.0,16,115.0,7.52,4.21,8
S,72,214,4.59,34.0,21,106.0,7.14,4.18,7
DE,76,249,4.84,38.5,20,132.0,7.26,4.24,1
QB,74,225,4.58,35.5,19,113.0,7.12,4.12,2
ILB,76,227,4.67,37.5,23,118.0,7.66,4.25,2
WR,72,210,4.33,45.0,17,134.0,7.03,4.0,2
OLB,74,238,4.77,40.0,24,119.0,7.34,4.21,5
QB,76,238,5.22,29.5,20,101.0,7.78,4.62,8
RB,72,193,4.42,35.0,8,120.0,6.96,4.07,7
FB,70,226,4.8,29.5,17,108.0,7.55,4.38,6
DE,77,272,4.95,35.5,24,114.0,7.12,4.21,6
S,72,222,4.45,41.5,18,130.0,6.87,3.9,5
CB,68,178,4.6,35.5,13,118.0,7.25,4.4,8
OLB,75,242,5.03,31.5,19,109.0,7.54,4.35,6
RB,71,225,4.76,37.0,15,115.0,7.36,4.32,8
TE,74,266,4.76,34.0,22,112.0,7.38,4.43,2
OG,77,318,5.53,24.5,17,91.0,8.84,5.06,8
OT,78,370,5.32,28.0,33,97.0,8.72,5.18,1
DT,76,302,5.1,27.5,23,99.0,7.98,4.87,7
OG,76,307,5.24,31.5,32,108.0,7.62,4.6,7
OT,79,338,5.13,34.0,29,102.0,7.5,4.46,4
S,73,213,4.63,37.0,17,117.0,7.38,4.25,2
OG,75,303,5.3,32.0,17,106.0,8.1,4.77,5
CB,73,201,4.59,34.5,19,119.0,6.94,4.19,8
FB,72,246,4.56,34.5,30,111.0,7.3,4.24,3
WR,73,205,4.48,36.5,17,120.0,7.24,4.07,2
TE,76,262,5.09,33.5,15,103.0,7.95,4.59,7
WR,71,195,4.55,35.5,16,114.0,6.98,3.96,8
OG,74,312,5.28,27.0,23,97.0,8.56,4.7,7
S,70,186,4.45,36.0,18,114.0,7.2,4.21,4
OG,76,305,5.2,30.5,26,103.0,8.03,4.71,3
C,74,303,5.0,32.5,37,114.0,7.71,4.53,4
OLB,73,236,4.94,36.0,14,115.0,7.16,4.31,6
CB,70,204,4.53,39.0,17,115.0,7.15,4.34,8
WR,73,211,4.73,35.5,17,113.0,7.41,4.34,8
OLB,72,237,4.69,33.5,21,112.0,7.62,4.08,3
WR,71,188,4.6,36.2,15,111.0,7.27,4.33,8
WR,74,211,4.61,38.5,17,125.0,7.35,4.29,8
S,75,198,4.5,36.5,14,127.0,6.87,4.17,7
C,77,303,5.26,33.5,17,106.0,7.62,4.62,4
S,72,200,4.56,34.5,12,119.0,7.14,4.2,7
ILB,73,250,4.86,36.5,18,114.0,7.64,4.56,8
QB,73,211,4.83,33.0,17,113.0,7.27,4.4,8
DE,77,255,4.91,41.0,21,127.0,7.43,4.43,3
CB,73,202,4.48,40.5,10,125.0,6.9,4.12,4
CB,73,198,4.6,41.0,15,126.0,6.9,4.2,4
DE,75,280,5.16,36.0,26,114.0,7.58,4.43,8
QB,74,215,4.85,37.5,18,114.0,7.18,4.15,6
CB,71,178,4.68,35.5,10,116.0,7.07,4.18,7
OG,75,300,5.4,26.5,16,95.0,7.85,4.69,5
OLB,76,244,4.49,32.0,21,120.0,7.22,4.09,3
C,75,290,5.5,29.0,26,102.0,7.78,4.54,8
TE,74,253,4.91,38.5,20,113.0,7.14,4.4,4
DE,74,284,4.9,34.5,19,111.0,7.54,4.43,6
CB,71,186,4.58,42.0,6,129.0,7.09,3.85,6
RB,68,194,4.6,32.5,16,113.0,7.24,4.3,8
WR,71,191,4.5,36.0,15,116.0,7.08,4.18,8
S,72,204,4.64,37.0,14,121.0,6.87,4.12,4
OG,77,315,5.15,33.5,31,106.0,7.77,4.74,1
WR,68,167,4.48,41.0,13,127.0,7.42,4.11,8
CB,72,197,4.51,38.5,13,120.0,6.93,4.18,8
S,71,186,4.5,34.5,9,118.0,7.13,4.2,6
QB,73,234,4.82,34.5,19,108.0,7.32,4.4,8
DT,77,318,5.19,31.0,33,108.0,7.85,4.4,2
OT,76,334,5.31,29.5,31,102.0,8.08,4.93,3
CB,69,202,4.67,34.0,11,120.0,7.07,4.03,8
WR,73,192,4.57,33.0,16,108.0,7.51,4.14,2
RB,70,227,4.57,37.5,24,119.0,7.32,4.22,4
OG,77,308,5.07,31.5,20,112.0,7.71,4.95,8
CB,72,199,4.54,34.5,16,113.0,7.21,4.27,3
WR,72,199,4.42,43.5,16,126.0,6.56,3.73,6
DE,77,254,4.93,28.5,20,114.0,7.93,4.55,8
CB,70,199,4.46,36.0,15,120.0,7.24,4.18,3
DE,75,290,4.87,34.5,25,111.0,7.37,4.36,7
DE,75,252,4.97,31.5,22,118.0,6.82,4.1,8
FB,71,242,4.59,32.0,20,115.0,7.08,4.19,4
OG,74,290,5.28,31.5,28,111.0,7.59,4.44,5
