Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Round
OLB,76,252,4.55,,,,,,1
RB,72,218,4.58,,,,,,1
OT,76,334,5.56,25.0,23.0,94.0,8.48,4.98,6
TE,74,253,4.97,29.0,,104.0,7.29,4.49,8
CB,74,206,4.55,34.0,,123.0,7.18,4.15,1
K,70,202,,,,,,,8
OLB,75,250,4.53,,,,,,1
OLB,72,237,4.72,31.0,21.0,112.0,7.96,4.39,8
K,72,167,,,,,,,8
CB,69,175,4.44,35.0,17.0,119.0,7.03,4.14,4
P,75,227,,,,,,,8
OT,78,312,5.34,28.0,20.0,96.0,7.72,4.73,7
S,72,208,4.62,35.0,10.0,114.0,6.92,4.32,7
CB,70,199,4.44,37.5,16.0,116.0,6.81,4.04,4
CB,73,192,4.43,38.5,,124.0,6.7,3.99,2
P,74,200,,,,,,,8
OG,75,312,5.19,,29.0,,,,8
CB,71,178,4.5,34.5,,122.0,6.87,4.2,5
TE,78,270,4.78,33.5,,123.0,6.94,4.08,1
ILB,75,234,4.65,,,,,,8
S,73,207,4.62,39.5,15.0,119.0,6.48,4.29,2
OG,76,302,5.07,31.5,17.0,103.0,7.76,4.58,6
ILB,74,237,4.78,31.5,21.0,111.0,7.17,4.33,4
S,71,204,4.55,,,,,,4
DE,76,274,5.09,29.0,26.0,105.0,7.68,4.49,2
S,73,201,4.49,33.0,12.0,115.0,7.06,4.09,6
DT,74,300,5.03,,,,,,8
QB,76,211,5.28,24.5,,99.0,7.2,4.38,6
DT,76,309,5.19,28.5,28.0,99.0,7.82,4.7,8
RB,71,216,4.66,30.0,,117.0,6.64,4.08,8
RB,72,217,4.72,31.0,,107.0,7.17,4.39,8
DE,77,269,4.78,,,,,,1
S,70,204,4.59,36.0,14.0,116.0,6.93,4.01,2
CB,70,185,4.55,,10.0,,,,5
QB,75,218,5.01,29.0,,101.0,7.54,4.87,8
DE,75,260,4.91,,17.0,,,,8
QB,74,208,4.97,,,100.0,7.46,4.34,6
OLB,75,244,4.47,38.0,,119.0,7.33,4.13,1
