number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,params_p,params_weights,state
0,0.45621190550597823,2025-04-27 21:58:53.044933,2025-04-27 21:58:53.124960,0 days 00:00:00.080027,euclidean,10,,distance,COMPLETE
1,0.48504577705244395,2025-04-27 21:58:53.125149,2025-04-27 21:58:53.261403,0 days 00:00:00.136254,manhattan,16,,distance,COMPLETE
2,0.36604048751692775,2025-04-27 21:58:53.261573,2025-04-27 21:58:53.371711,0 days 00:00:00.110138,euclidean,1,,uniform,COMPLETE
3,0.48225100408579,2025-04-27 21:58:53.371874,2025-04-27 21:58:53.557670,0 days 00:00:00.185796,minkowski,17,1.0,uniform,COMPLETE
4,0.48031343680914845,2025-04-27 21:58:53.557836,2025-04-27 21:58:53.697138,0 days 00:00:00.139302,manhattan,19,,distance,COMPLETE
5,0.4256515851244835,2025-04-27 21:58:53.697320,2025-04-27 21:58:53.808325,0 days 00:00:00.111005,manhattan,5,,distance,COMPLETE
6,0.47106543051263355,2025-04-27 21:58:53.808488,2025-04-27 21:58:53.932611,0 days 00:00:00.124123,minkowski,11,1.0,distance,COMPLETE
7,0.4648216951977499,2025-04-27 21:58:53.932778,2025-04-27 21:58:54.048996,0 days 00:00:00.116218,manhattan,9,,distance,COMPLETE
8,0.4648216951977499,2025-04-27 21:58:54.049164,2025-04-27 21:58:54.165016,0 days 00:00:00.115852,manhattan,9,,distance,COMPLETE
9,0.40714561848212316,2025-04-27 21:58:54.165175,2025-04-27 21:58:54.538213,0 days 00:00:00.373038,minkowski,4,3.0,uniform,COMPLETE
10,0.48526129379492344,2025-04-27 21:58:54.538383,2025-04-27 21:58:54.712661,0 days 00:00:00.174278,manhattan,15,,uniform,COMPLETE
11,0.48526129379492344,2025-04-27 21:58:54.712807,2025-04-27 21:58:54.887308,0 days 00:00:00.174501,manhattan,15,,uniform,COMPLETE
12,0.4822533189809831,2025-04-27 21:58:54.887452,2025-04-27 21:58:55.059596,0 days 00:00:00.172144,manhattan,14,,uniform,COMPLETE
13,0.4822533189809831,2025-04-27 21:58:55.059735,2025-04-27 21:58:55.231578,0 days 00:00:00.171843,manhattan,14,,uniform,COMPLETE
14,0.4833237265182819,2025-04-27 21:58:55.231711,2025-04-27 21:58:55.411323,0 days 00:00:00.179612,manhattan,20,,uniform,COMPLETE
15,0.4646054839867125,2025-04-27 21:58:55.411464,2025-04-27 21:58:55.543080,0 days 00:00:00.131616,euclidean,13,,uniform,COMPLETE
16,0.48225100408579,2025-04-27 21:58:55.543221,2025-04-27 21:58:55.719590,0 days 00:00:00.176369,manhattan,17,,uniform,COMPLETE
17,0.4725643251501789,2025-04-27 21:58:55.719725,2025-04-27 21:58:55.889801,0 days 00:00:00.170076,manhattan,12,,uniform,COMPLETE
18,0.45104598539301133,2025-04-27 21:58:55.889940,2025-04-27 21:58:56.347115,0 days 00:00:00.457175,minkowski,15,4.0,uniform,COMPLETE
