number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,params_p,params_weights,state
0,0.33075222519300446,2025-04-27 21:59:09.619413,2025-04-27 21:59:10.577630,0 days 00:00:00.958217,minkowski,16,4.0,uniform,COMPLETE
1,0.29502575320902347,2025-04-27 21:59:10.577875,2025-04-27 21:59:11.023288,0 days 00:00:00.445413,minkowski,7,3.0,distance,COMPLETE
2,0.3305348565343704,2025-04-27 21:59:11.023462,2025-04-27 21:59:11.083653,0 days 00:00:00.060191,manhattan,15,,uniform,COMPLETE
3,0.2915832725673345,2025-04-27 21:59:11.083832,2025-04-27 21:59:11.117272,0 days 00:00:00.033440,euclidean,6,,distance,COMPLETE
4,0.2825456902438742,2025-04-27 21:59:11.117454,2025-04-27 21:59:11.175022,0 days 00:00:00.057568,manhattan,7,,uniform,COMPLETE
5,0.3322594534532449,2025-04-27 21:59:11.175165,2025-04-27 21:59:11.623628,0 days 00:00:00.448463,minkowski,15,3.0,distance,COMPLETE
6,0.31848420662754495,2025-04-27 21:59:11.623810,2025-04-27 21:59:11.658265,0 days 00:00:00.034455,minkowski,10,2.0,distance,COMPLETE
7,0.3219283076958691,2025-04-27 21:59:11.658429,2025-04-27 21:59:11.746974,0 days 00:00:00.088545,euclidean,13,,uniform,COMPLETE
8,0.3202074146093036,2025-04-27 21:59:11.747123,2025-04-27 21:59:11.777409,0 days 00:00:00.030286,minkowski,11,2.0,uniform,COMPLETE
9,0.3376360290287857,2025-04-27 21:59:11.777566,2025-04-27 21:59:11.828302,0 days 00:00:00.050736,manhattan,17,,distance,COMPLETE
10,0.3404338113591907,2025-04-27 21:59:11.828447,2025-04-27 21:59:11.882014,0 days 00:00:00.053567,manhattan,19,,distance,COMPLETE
11,0.3415107006030302,2025-04-27 21:59:11.882174,2025-04-27 21:59:11.936368,0 days 00:00:00.054194,manhattan,20,,distance,COMPLETE
12,0.3415107006030302,2025-04-27 21:59:11.936513,2025-04-27 21:59:11.990189,0 days 00:00:00.053676,manhattan,20,,distance,COMPLETE
13,0.2244429783441555,2025-04-27 21:59:11.990332,2025-04-27 21:59:12.027359,0 days 00:00:00.037027,manhattan,1,,distance,COMPLETE
14,0.3404338113591907,2025-04-27 21:59:12.027498,2025-04-27 21:59:12.082022,0 days 00:00:00.054524,manhattan,19,,distance,COMPLETE
15,0.3404338113591907,2025-04-27 21:59:12.082186,2025-04-27 21:59:12.135361,0 days 00:00:00.053175,manhattan,19,,distance,COMPLETE
16,0.3415107006030302,2025-04-27 21:59:12.135507,2025-04-27 21:59:12.189229,0 days 00:00:00.053722,manhattan,20,,distance,COMPLETE
17,0.3378524717293425,2025-04-27 21:59:12.189369,2025-04-27 21:59:12.229862,0 days 00:00:00.040493,euclidean,17,,distance,COMPLETE
18,0.3305339305762932,2025-04-27 21:59:12.230015,2025-04-27 21:59:12.278016,0 days 00:00:00.048001,manhattan,13,,distance,COMPLETE
19,0.2244429783441555,2025-04-27 21:59:12.278162,2025-04-27 21:59:12.315753,0 days 00:00:00.037591,manhattan,1,,distance,COMPLETE
20,0.34602960750952005,2025-04-27 21:59:12.315896,2025-04-27 21:59:12.358447,0 days 00:00:00.042551,euclidean,20,,distance,COMPLETE
21,0.34602960750952005,2025-04-27 21:59:12.358595,2025-04-27 21:59:12.401237,0 days 00:00:00.042642,euclidean,20,,distance,COMPLETE
22,0.34237068416727434,2025-04-27 21:59:12.401384,2025-04-27 21:59:12.442680,0 days 00:00:00.041296,euclidean,18,,distance,COMPLETE
23,0.34237068416727434,2025-04-27 21:59:12.442832,2025-04-27 21:59:12.484094,0 days 00:00:00.041262,euclidean,18,,distance,COMPLETE
24,0.33010521198652726,2025-04-27 21:59:12.484249,2025-04-27 21:59:12.530292,0 days 00:00:00.046043,euclidean,14,,distance,COMPLETE
25,0.3378524717293425,2025-04-27 21:59:12.530441,2025-04-27 21:59:12.581105,0 days 00:00:00.050664,euclidean,17,,distance,COMPLETE
26,0.34194127110895056,2025-04-27 21:59:12.581274,2025-04-27 21:59:12.685742,0 days 00:00:00.104468,euclidean,18,,uniform,COMPLETE
27,0.3223561003275577,2025-04-27 21:59:12.685894,2025-04-27 21:59:12.731265,0 days 00:00:00.045371,euclidean,11,,distance,COMPLETE
28,0.33290530921212547,2025-04-27 21:59:12.731417,2025-04-27 21:59:12.781053,0 days 00:00:00.049636,euclidean,16,,distance,COMPLETE
29,0.3294625970809172,2025-04-27 21:59:12.781200,2025-04-27 21:59:12.884710,0 days 00:00:00.103510,euclidean,16,,uniform,COMPLETE
30,0.34237068416727434,2025-04-27 21:59:12.884859,2025-04-27 21:59:12.926664,0 days 00:00:00.041805,euclidean,18,,distance,COMPLETE
31,0.34237068416727434,2025-04-27 21:59:12.926813,2025-04-27 21:59:12.968669,0 days 00:00:00.041856,euclidean,18,,distance,COMPLETE
32,0.34602960750952005,2025-04-27 21:59:12.968814,2025-04-27 21:59:13.012109,0 days 00:00:00.043295,euclidean,20,,distance,COMPLETE
33,0.34602960750952005,2025-04-27 21:59:13.012259,2025-04-27 21:59:13.056002,0 days 00:00:00.043743,euclidean,20,,distance,COMPLETE
34,0.34602960750952005,2025-04-27 21:59:13.056167,2025-04-27 21:59:13.100191,0 days 00:00:00.044024,euclidean,20,,distance,COMPLETE
35,0.34602960750952005,2025-04-27 21:59:13.100357,2025-04-27 21:59:13.143970,0 days 00:00:00.043613,euclidean,20,,distance,COMPLETE
36,0.22078752734469947,2025-04-27 21:59:13.144121,2025-04-27 21:59:13.227754,0 days 00:00:00.083633,euclidean,3,,uniform,COMPLETE
37,0.3318258735835735,2025-04-27 21:59:13.227902,2025-04-27 21:59:13.281178,0 days 00:00:00.053276,minkowski,15,1.0,distance,COMPLETE
38,0.31396391078393926,2025-04-27 21:59:13.281336,2025-04-27 21:59:13.316289,0 days 00:00:00.034953,euclidean,9,,distance,COMPLETE
39,0.26167228028751,2025-04-27 21:59:13.316438,2025-04-27 21:59:13.401440,0 days 00:00:00.085002,euclidean,5,,uniform,COMPLETE
40,0.32644860353947475,2025-04-27 21:59:13.401588,2025-04-27 21:59:13.854709,0 days 00:00:00.453121,minkowski,13,4.0,distance,COMPLETE
41,0.3445230737178374,2025-04-27 21:59:13.854889,2025-04-27 21:59:13.897749,0 days 00:00:00.042860,euclidean,19,,distance,COMPLETE
42,0.34602960750952005,2025-04-27 21:59:13.897912,2025-04-27 21:59:13.941129,0 days 00:00:00.043217,euclidean,20,,distance,COMPLETE
43,0.3445230737178374,2025-04-27 21:59:13.941278,2025-04-27 21:59:13.983552,0 days 00:00:00.042274,euclidean,19,,distance,COMPLETE
44,0.33290530921212547,2025-04-27 21:59:13.983699,2025-04-27 21:59:14.024018,0 days 00:00:00.040319,euclidean,16,,distance,COMPLETE
45,0.34602960750952005,2025-04-27 21:59:14.024171,2025-04-27 21:59:14.067774,0 days 00:00:00.043603,euclidean,20,,distance,COMPLETE
46,0.3376360290287857,2025-04-27 21:59:14.067947,2025-04-27 21:59:14.121719,0 days 00:00:00.053772,minkowski,17,1.0,distance,COMPLETE
47,0.3445230737178374,2025-04-27 21:59:14.121881,2025-04-27 21:59:14.164244,0 days 00:00:00.042363,euclidean,19,,distance,COMPLETE
48,0.3443080199543965,2025-04-27 21:59:14.164398,2025-04-27 21:59:14.258849,0 days 00:00:00.094451,euclidean,20,,uniform,COMPLETE
49,0.3378524717293425,2025-04-27 21:59:14.259028,2025-04-27 21:59:14.300067,0 days 00:00:00.041039,euclidean,17,,distance,COMPLETE
