number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.526576385754135,2025-04-27 21:59:18.176471,2025-04-27 21:59:20.446963,0 days 00:00:02.270492,True,20,sqrt,1,3,292,COMPLETE
1,0.4704135560262509,2025-04-27 21:59:20.447268,2025-04-27 21:59:24.781059,0 days 00:00:04.333791,True,3,sqrt,5,10,245,COMPLETE
2,0.44566825236987395,2025-04-27 21:59:24.781938,2025-04-27 21:59:25.887791,0 days 00:00:01.105853,True,3,,1,7,102,COMPLETE
3,0.5242112573353241,2025-04-27 21:59:25.888618,2025-04-27 21:59:26.639389,0 days 00:00:00.750771,True,12,,1,9,72,COMPLETE
4,0.4572820815537577,2025-04-27 21:59:26.639637,2025-04-27 21:59:27.751931,0 days 00:00:01.112294,False,10,,4,10,167,COMPLETE
5,0.5392747433359955,2025-04-27 21:59:27.752426,2025-04-27 21:59:29.094247,0 days 00:00:01.341821,True,11,log2,3,6,149,COMPLETE
6,0.5369089204486267,2025-04-27 21:59:29.095160,2025-04-27 21:59:31.627478,0 days 00:00:02.532318,True,20,log2,5,3,290,COMPLETE
7,0.4816030649212356,2025-04-27 21:59:31.628427,2025-04-27 21:59:32.833725,0 days 00:00:01.205298,False,8,,2,3,196,COMPLETE
8,0.4917163790409389,2025-04-27 21:59:32.834338,2025-04-27 21:59:33.448966,0 days 00:00:00.614628,False,7,,4,7,78,COMPLETE
9,0.528730164241814,2025-04-27 21:59:33.449163,2025-04-27 21:59:35.494375,0 days 00:00:02.045212,False,7,sqrt,1,6,285,COMPLETE
10,0.5349718161510238,2025-04-27 21:59:35.495316,2025-04-27 21:59:36.719133,0 days 00:00:01.223817,True,15,log2,3,5,137,COMPLETE
11,0.5386293505561536,2025-04-27 21:59:36.720081,2025-04-27 21:59:38.499532,0 days 00:00:01.779451,True,17,log2,3,2,214,COMPLETE
12,0.539703230436242,2025-04-27 21:59:38.500436,2025-04-27 21:59:40.237309,0 days 00:00:01.736873,True,16,log2,3,2,214,COMPLETE
13,0.5354035441045408,2025-04-27 21:59:40.238033,2025-04-27 21:59:41.797088,0 days 00:00:01.559055,True,14,log2,2,5,152,COMPLETE
14,0.5308823223028577,2025-04-27 21:59:41.797778,2025-04-27 21:59:43.818878,0 days 00:00:02.021100,True,17,log2,4,8,225,COMPLETE
15,0.5358329571628644,2025-04-27 21:59:43.819845,2025-04-27 21:59:44.850597,0 days 00:00:01.030752,True,12,log2,2,5,111,COMPLETE
16,0.5336791786751854,2025-04-27 21:59:44.850945,2025-04-27 21:59:46.433374,0 days 00:00:01.582429,True,15,log2,3,2,182,COMPLETE
17,0.5360480109263054,2025-04-27 21:59:46.434349,2025-04-27 21:59:48.696405,0 days 00:00:02.262056,True,10,log2,4,4,255,COMPLETE
18,0.5270092711552484,2025-04-27 21:59:48.697284,2025-04-27 21:59:49.654306,0 days 00:00:00.957022,False,17,log2,2,8,138,COMPLETE
19,0.5319589800571778,2025-04-27 21:59:49.654781,2025-04-27 21:59:51.324355,0 days 00:00:01.669574,True,13,log2,3,4,201,COMPLETE
20,0.5364776554741484,2025-04-27 21:59:51.324954,2025-04-27 21:59:53.584274,0 days 00:00:02.259320,True,10,sqrt,4,6,242,COMPLETE
21,0.5375529242913527,2025-04-27 21:59:53.585218,2025-04-27 21:59:55.548826,0 days 00:00:01.963608,True,17,log2,3,2,212,COMPLETE
22,0.5334652823593411,2025-04-27 21:59:55.549754,2025-04-27 21:59:57.071589,0 days 00:00:01.521835,True,18,log2,3,2,177,COMPLETE
23,0.5328205840480572,2025-04-27 21:59:57.072093,2025-04-27 21:59:59.056667,0 days 00:00:01.984574,True,15,log2,2,4,226,COMPLETE
24,0.5321742653101381,2025-04-27 21:59:59.057219,2025-04-27 22:00:00.585451,0 days 00:00:01.528232,True,19,log2,3,3,161,COMPLETE
25,0.5345412456451035,2025-04-27 22:00:00.586450,2025-04-27 22:00:01.649935,0 days 00:00:01.063485,True,16,log2,3,2,120,COMPLETE
26,0.5265766172436543,2025-04-27 22:00:01.650587,2025-04-27 22:00:03.544532,0 days 00:00:01.893945,False,14,log2,3,4,271,COMPLETE
27,0.530021875759575,2025-04-27 22:00:03.544961,2025-04-27 22:00:05.371402,0 days 00:00:01.826441,True,18,log2,4,7,191,COMPLETE
28,0.5091489287822494,2025-04-27 22:00:05.372439,2025-04-27 22:00:08.548192,0 days 00:00:03.175753,True,5,log2,2,3,215,COMPLETE
29,0.5302373925020545,2025-04-27 22:00:08.549060,2025-04-27 22:00:09.943298,0 days 00:00:01.394238,True,20,sqrt,4,6,149,COMPLETE
30,0.5356174404203851,2025-04-27 22:00:09.944283,2025-04-27 22:00:12.303047,0 days 00:00:02.358764,True,11,sqrt,2,3,262,COMPLETE
31,0.5373381020174312,2025-04-27 22:00:12.303907,2025-04-27 22:00:14.118694,0 days 00:00:01.814787,True,17,log2,3,2,222,COMPLETE
32,0.5401344954107203,2025-04-27 22:00:14.119536,2025-04-27 22:00:15.886339,0 days 00:00:01.766803,True,16,log2,3,2,209,COMPLETE
33,0.5319587485676587,2025-04-27 22:00:15.886788,2025-04-27 22:00:17.830611,0 days 00:00:01.943823,True,13,log2,3,2,240,COMPLETE
34,0.5399196731367988,2025-04-27 22:00:17.831279,2025-04-27 22:00:19.709376,0 days 00:00:01.878097,True,16,log2,3,3,205,COMPLETE
35,0.5304531407340531,2025-04-27 22:00:19.710329,2025-04-27 22:00:21.027432,0 days 00:00:01.317103,True,13,,5,4,182,COMPLETE
