number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.366258087665081,2025-04-27 22:02:28.457028,2025-04-27 22:02:29.671541,0 days 00:00:01.214513,True,20,,2,10,150,COMPLETE
1,0.3587258816857067,2025-04-27 22:02:29.672317,2025-04-27 22:02:32.116648,0 days 00:00:02.444331,False,3,sqrt,1,4,202,COMPLETE
2,0.3729293841221339,2025-04-27 22:02:32.117594,2025-04-27 22:02:33.704402,0 days 00:00:01.586808,True,9,,5,6,230,COMPLETE
3,0.368624142041969,2025-04-27 22:02:33.705275,2025-04-27 22:02:35.109221,0 days 00:00:01.403946,False,18,log2,2,8,199,COMPLETE
4,0.3645378890470734,2025-04-27 22:02:35.110098,2025-04-27 22:02:36.796765,0 days 00:00:01.686667,True,19,,3,5,242,COMPLETE
5,0.3744347604662199,2025-04-27 22:02:36.797257,2025-04-27 22:02:40.731534,0 days 00:00:03.934277,True,12,log2,2,10,261,COMPLETE
6,0.3587258816857067,2025-04-27 22:02:40.732502,2025-04-27 22:02:42.148088,0 days 00:00:01.415586,True,3,log2,1,8,78,COMPLETE
7,0.3740058103869347,2025-04-27 22:02:42.149032,2025-04-27 22:02:44.094385,0 days 00:00:01.945353,True,18,sqrt,3,8,182,COMPLETE
8,0.36948597752236767,2025-04-27 22:02:44.095250,2025-04-27 22:02:47.844968,0 days 00:00:03.749718,True,10,log2,3,4,232,COMPLETE
9,0.3692702292903689,2025-04-27 22:02:47.845476,2025-04-27 22:02:48.743798,0 days 00:00:00.898322,True,11,log2,1,7,61,COMPLETE
10,0.3748667199092562,2025-04-27 22:02:48.744740,2025-04-27 22:02:50.869940,0 days 00:00:02.125200,False,14,log2,5,2,299,COMPLETE
11,0.37465143465629597,2025-04-27 22:02:50.870837,2025-04-27 22:02:52.918058,0 days 00:00:02.047221,False,14,log2,5,2,300,COMPLETE
12,0.3742210956398949,2025-04-27 22:02:52.919280,2025-04-27 22:02:55.122975,0 days 00:00:02.203695,False,14,log2,5,2,292,COMPLETE
13,0.3720677801312545,2025-04-27 22:02:55.123849,2025-04-27 22:02:57.288528,0 days 00:00:02.164679,False,15,log2,4,2,298,COMPLETE
14,0.3714230818199706,2025-04-27 22:02:57.289464,2025-04-27 22:02:58.369271,0 days 00:00:01.079807,False,15,log2,4,3,144,COMPLETE
15,0.36561223190620046,2025-04-27 22:02:58.369628,2025-04-27 22:03:00.857632,0 days 00:00:02.488004,False,7,sqrt,5,3,270,COMPLETE
16,0.37228561176892716,2025-04-27 22:03:00.858615,2025-04-27 22:03:01.942997,0 days 00:00:01.084382,False,13,log2,4,2,114,COMPLETE
17,0.3740046529393382,2025-04-27 22:03:01.943594,2025-04-27 22:03:03.769853,0 days 00:00:01.826259,False,16,log2,5,4,277,COMPLETE
18,0.33720569001238465,2025-04-27 22:03:03.770066,2025-04-27 22:03:05.587238,0 days 00:00:01.817172,False,8,,4,3,299,COMPLETE
19,0.3701320647707675,2025-04-27 22:03:05.587675,2025-04-27 22:03:07.394367,0 days 00:00:01.806692,False,17,sqrt,5,5,251,COMPLETE
20,0.3735759343495723,2025-04-27 22:03:07.394576,2025-04-27 22:03:08.857950,0 days 00:00:01.463374,False,13,log2,4,2,214,COMPLETE
21,0.37163720962533425,2025-04-27 22:03:08.858866,2025-04-27 22:03:13.096056,0 days 00:00:04.237190,True,11,log2,2,10,268,COMPLETE
22,0.3720694005578898,2025-04-27 22:03:13.096937,2025-04-27 22:03:14.859088,0 days 00:00:01.762151,False,13,log2,2,9,258,COMPLETE
23,0.37292961561165316,2025-04-27 22:03:14.859811,2025-04-27 22:03:19.230307,0 days 00:00:04.370496,True,12,log2,5,6,279,COMPLETE
24,0.3619540030325127,2025-04-27 22:03:19.231168,2025-04-27 22:03:22.257570,0 days 00:00:03.026402,False,6,log2,3,7,299,COMPLETE
25,0.36711876569788304,2025-04-27 22:03:22.258458,2025-04-27 22:03:24.059203,0 days 00:00:01.800745,False,15,log2,2,3,257,COMPLETE
26,0.3724978876581363,2025-04-27 22:03:24.059562,2025-04-27 22:03:28.674092,0 days 00:00:04.614530,True,12,log2,4,9,280,COMPLETE
27,0.36948551454332906,2025-04-27 22:03:28.675089,2025-04-27 22:03:30.241572,0 days 00:00:01.566483,False,10,log2,3,5,220,COMPLETE
28,0.3733599546280542,2025-04-27 22:03:30.242446,2025-04-27 22:03:33.080946,0 days 00:00:02.838500,True,16,sqrt,5,6,242,COMPLETE
29,0.365827054180122,2025-04-27 22:03:33.081908,2025-04-27 22:03:34.080780,0 days 00:00:00.998872,True,20,,2,10,122,COMPLETE
30,0.2621028507934303,2025-04-27 22:03:34.081170,2025-04-27 22:03:35.446039,0 days 00:00:01.364869,False,14,,1,4,170,COMPLETE
31,0.3742210956398949,2025-04-27 22:03:35.446465,2025-04-27 22:03:37.502942,0 days 00:00:02.056477,False,14,log2,5,2,285,COMPLETE
32,0.37465166614581524,2025-04-27 22:03:37.503818,2025-04-27 22:03:39.466405,0 days 00:00:01.962587,False,14,log2,5,2,288,COMPLETE
33,0.3742197067027791,2025-04-27 22:03:39.466847,2025-04-27 22:03:41.221862,0 days 00:00:01.755015,False,16,log2,5,3,265,COMPLETE
34,0.372283991342292,2025-04-27 22:03:41.222866,2025-04-27 22:03:43.351812,0 days 00:00:02.128946,False,12,log2,4,2,286,COMPLETE
35,0.3707767630820515,2025-04-27 22:03:43.352791,2025-04-27 22:03:45.441324,0 days 00:00:02.088533,False,10,log2,5,3,251,COMPLETE
36,0.25285206662268367,2025-04-27 22:03:45.442299,2025-04-27 22:03:47.076401,0 days 00:00:01.634102,False,17,,5,4,236,COMPLETE
