number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout1,params_dropout2,params_learning_rate,params_units_layer1,params_units_layer2,state
0,0.47729458212852477,2025-04-27 22:05:57.250731,2025-04-27 22:06:18.251614,0 days 00:00:21.000883,128,0.4505718475016155,0.42576520202983126,0.00017011956290196537,167,108,COMPLETE
1,0.5128059923648834,2025-04-27 22:06:18.251861,2025-04-27 22:06:46.311143,0 days 00:00:28.059282,16,0.42816337256667925,0.17622698751511492,0.008525550872331363,54,23,COMPLETE
2,0.5463731527328491,2025-04-27 22:06:46.311366,2025-04-27 22:07:12.933726,0 days 00:00:26.622360,64,0.2989933264865062,0.1505377320127284,0.000782487575360228,154,98,COMPLETE
3,0.5405616044998169,2025-04-27 22:07:12.933959,2025-04-27 22:07:36.994210,0 days 00:00:24.060251,64,0.259537367604316,0.31898127285792555,0.0013900524828470223,214,25,COMPLETE
4,0.5323851466178894,2025-04-27 22:07:36.994493,2025-04-27 22:08:11.494782,0 days 00:00:34.500289,32,0.431136659918267,0.18628945660892185,0.00028961384666009444,121,36,COMPLETE
5,0.5155998468399048,2025-04-27 22:08:11.495026,2025-04-27 22:08:39.543542,0 days 00:00:28.048516,64,0.15018796374613058,0.25638717494322255,0.00011896803065500982,199,112,COMPLETE
6,0.5369075298309326,2025-04-27 22:08:39.543774,2025-04-27 22:09:05.373412,0 days 00:00:25.829638,64,0.3212001866447951,0.17357194781619545,0.0004266959484055197,111,87,COMPLETE
7,0.5369045376777649,2025-04-27 22:09:05.373648,2025-04-27 22:09:21.047812,0 days 00:00:15.674164,64,0.11358997333383508,0.25941630438255325,0.0027758329988522516,144,55,COMPLETE
8,0.517968213558197,2025-04-27 22:09:21.048199,2025-04-27 22:09:39.104457,0 days 00:00:18.056258,128,0.11313653305214602,0.24164745488538159,0.000539126077780133,78,26,COMPLETE
9,0.5231304228305816,2025-04-27 22:09:39.104847,2025-04-27 22:09:58.547845,0 days 00:00:19.442998,32,0.3622113285210362,0.18011921898113467,0.006974389620123447,117,122,COMPLETE
10,0.5360410690307618,2025-04-27 22:09:58.548093,2025-04-27 22:10:29.608453,0 days 00:00:31.060360,16,0.24127165769366934,0.11622017909014695,0.0013944670790926464,249,79,COMPLETE
11,0.5474474906921387,2025-04-27 22:10:29.608681,2025-04-27 22:10:54.884370,0 days 00:00:25.275689,64,0.2454089696767744,0.3621385058844234,0.001296288864010012,215,60,COMPLETE
