number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout1,params_dropout2,params_learning_rate,params_units_layer1,params_units_layer2,state
0,0.36797990202903746,2025-04-27 22:50:29.141468,2025-04-27 22:50:59.012681,0 days 00:00:29.871213,64,0.459556162839325,0.1854768908322106,0.00011364665333614779,33,112,COMPLETE
1,0.38003148436546325,2025-04-27 22:50:59.012910,2025-04-27 22:51:21.290883,0 days 00:00:22.277973,32,0.4012210474648493,0.335335993802894,0.006651481726709152,249,88,COMPLETE
2,0.38132319450378416,2025-04-27 22:51:21.291114,2025-04-27 22:51:56.455789,0 days 00:00:35.164675,32,0.37897186906391656,0.10567320860779583,0.00016758741403128213,44,48,COMPLETE
3,0.3832605302333832,2025-04-27 22:51:56.456058,2025-04-27 22:52:30.936815,0 days 00:00:34.480757,32,0.10992731026249998,0.49597654560040794,0.000944753705148029,37,45,COMPLETE
4,0.38498281240463256,2025-04-27 22:52:30.937077,2025-04-27 22:53:25.631131,0 days 00:00:54.694054,16,0.20979018445510406,0.4642347962834644,0.00015616726719521072,141,26,COMPLETE
5,0.38498165607452395,2025-04-27 22:53:25.631397,2025-04-27 22:53:34.030904,0 days 00:00:08.399507,128,0.280188899910707,0.3594614759157525,0.008236459879333123,141,112,COMPLETE
6,0.3793858587741852,2025-04-27 22:53:34.031184,2025-04-27 22:53:54.123047,0 days 00:00:20.091863,128,0.28257792527468345,0.1515982898429832,0.00014406051825817577,154,66,COMPLETE
7,0.3843351066112518,2025-04-27 22:53:54.123328,2025-04-27 22:54:09.911998,0 days 00:00:15.788670,32,0.1616464800234549,0.29958803309900717,0.0017647597871136577,156,33,COMPLETE
8,0.38390383720397947,2025-04-27 22:54:09.912308,2025-04-27 22:54:20.931518,0 days 00:00:11.019210,64,0.1937638299146824,0.3731929194933711,0.0032358632309652815,214,94,COMPLETE
9,0.3839031457901001,2025-04-27 22:54:20.931802,2025-04-27 22:54:47.258174,0 days 00:00:26.326372,16,0.3087172191949253,0.2942805005833239,0.0009332273736983391,112,86,COMPLETE
10,0.3869178295135498,2025-04-27 22:54:47.258447,2025-04-27 22:55:39.955700,0 days 00:00:52.697253,16,0.22356898696376856,0.45400352673624317,0.0003850048202712241,98,18,COMPLETE
11,0.38541199564933776,2025-04-27 22:55:39.955947,2025-04-27 22:56:29.232035,0 days 00:00:49.276088,16,0.2106880622056225,0.4936184296910385,0.00037007031486961764,95,16,COMPLETE
12,0.385627281665802,2025-04-27 22:56:29.232281,2025-04-27 22:57:20.253968,0 days 00:00:51.021687,16,0.23630959102853455,0.44001639370583867,0.00039449342989627666,91,17,COMPLETE
13,0.38519670963287356,2025-04-27 22:57:20.254275,2025-04-27 22:58:06.493154,0 days 00:00:46.238879,16,0.25850914480614656,0.4203101686452918,0.00042486297957459947,79,57,COMPLETE
14,0.3858418703079224,2025-04-27 22:58:06.493393,2025-04-27 22:58:56.653288,0 days 00:00:50.159895,16,0.3415150426845678,0.42260743952476115,0.00043211079918014023,76,16,COMPLETE
15,0.3871331214904785,2025-04-27 22:58:56.653524,2025-04-27 22:59:41.813865,0 days 00:00:45.160341,16,0.351564326316399,0.40336918235239716,0.000570754709384961,72,36,COMPLETE
16,0.3864881873130798,2025-04-27 22:59:41.814093,2025-04-27 23:00:10.704757,0 days 00:00:28.890664,16,0.48176078141494133,0.24297292203484813,0.0017392588138802965,186,37,COMPLETE
17,0.384335333108902,2025-04-27 23:00:10.704989,2025-04-27 23:01:00.829606,0 days 00:00:50.124617,16,0.41310629148351585,0.3869451090789922,0.00026657966483366113,119,67,COMPLETE
18,0.3843358039855957,2025-04-27 23:01:00.829838,2025-04-27 23:01:23.889008,0 days 00:00:23.059170,64,0.340343718044927,0.2625387643555187,0.0007175912789149642,64,49,COMPLETE
19,0.38369110226631165,2025-04-27 23:01:23.889240,2025-04-27 23:01:38.595563,0 days 00:00:14.706323,128,0.1302831597410832,0.4515075148872353,0.0016881054390805116,62,33,COMPLETE
20,0.38282926082611085,2025-04-27 23:01:38.595799,2025-04-27 23:02:26.939954,0 days 00:00:48.344155,16,0.3393923561147556,0.40377840138380416,0.00026756482054622117,104,124,COMPLETE
21,0.38562658429145813,2025-04-27 23:02:26.940190,2025-04-27 23:02:50.589565,0 days 00:00:23.649375,16,0.49595373275842,0.23473652588827515,0.0017204825184258207,187,35,COMPLETE
22,0.3845501601696014,2025-04-27 23:02:50.589806,2025-04-27 23:03:27.919714,0 days 00:00:37.329908,16,0.4465492192187984,0.21937707637219722,0.0006705705316392232,182,29,COMPLETE
23,0.38304455280303956,2025-04-27 23:03:27.919999,2025-04-27 23:03:52.611352,0 days 00:00:24.691353,16,0.4747839264943942,0.3310528107803712,0.003452712183581875,186,42,COMPLETE
24,0.38304339051246644,2025-04-27 23:03:52.611620,2025-04-27 23:04:18.504716,0 days 00:00:25.893096,16,0.42552020818038194,0.2576271497927541,0.0026568234040443084,222,57,COMPLETE
25,0.3851971745491028,2025-04-27 23:04:18.505178,2025-04-27 23:05:01.176322,0 days 00:00:42.671144,16,0.38586015345277275,0.33890355142963435,0.000626982363419652,124,24,COMPLETE
26,0.3845508575439453,2025-04-27 23:05:01.176596,2025-04-27 23:05:31.147071,0 days 00:00:29.970475,16,0.24888817205127323,0.4706511121283173,0.0011032221575820798,169,39,COMPLETE
27,0.37852378487586974,2025-04-27 23:05:31.147355,2025-04-27 23:05:49.906091,0 days 00:00:18.758736,128,0.1761466701512611,0.19908744059212288,0.0002591684751553393,52,57,COMPLETE
