Starting hyperparameter optimization...
epoch 0  | loss: 3.32358 | train_accuracy: 0.0495  | train_logloss: 3.34511 | val_accuracy: 0.06022 | val_logloss: 3.29988 |  0:00:00s
epoch 1  | loss: 3.1078  | train_accuracy: 0.07425 | train_logloss: 3.06882 | val_accuracy: 0.07312 | val_logloss: 3.05781 |  0:00:00s
epoch 2  | loss: 2.9779  | train_accuracy: 0.11138 | train_logloss: 2.92359 | val_accuracy: 0.1086  | val_logloss: 2.95177 |  0:00:00s
epoch 3  | loss: 2.87391 | train_accuracy: 0.13801 | train_logloss: 2.83163 | val_accuracy: 0.13333 | val_logloss: 2.86157 |  0:00:00s
epoch 4  | loss: 2.8101  | train_accuracy: 0.14878 | train_logloss: 2.7567  | val_accuracy: 0.14409 | val_logloss: 2.79781 |  0:00:01s
epoch 5  | loss: 2.74145 | train_accuracy: 0.18133 | train_logloss: 2.69655 | val_accuracy: 0.18495 | val_logloss: 2.73854 |  0:00:01s
epoch 6  | loss: 2.67718 | train_accuracy: 0.20312 | train_logloss: 2.64583 | val_accuracy: 0.20323 | val_logloss: 2.69467 |  0:00:01s
epoch 7  | loss: 2.64326 | train_accuracy: 0.21738 | train_logloss: 2.59362 | val_accuracy: 0.2172  | val_logloss: 2.65057 |  0:00:01s
epoch 8  | loss: 2.59792 | train_accuracy: 0.23002 | train_logloss: 2.54757 | val_accuracy: 0.21613 | val_logloss: 2.60239 |  0:00:01s
epoch 9  | loss: 2.54698 | train_accuracy: 0.2381  | train_logloss: 2.50377 | val_accuracy: 0.22581 | val_logloss: 2.5618  |  0:00:01s
epoch 10 | loss: 2.51207 | train_accuracy: 0.24644 | train_logloss: 2.46489 | val_accuracy: 0.23333 | val_logloss: 2.52286 |  0:00:01s
epoch 11 | loss: 2.46889 | train_accuracy: 0.25074 | train_logloss: 2.43446 | val_accuracy: 0.24624 | val_logloss: 2.48393 |  0:00:02s
epoch 12 | loss: 2.43371 | train_accuracy: 0.25289 | train_logloss: 2.39547 | val_accuracy: 0.24839 | val_logloss: 2.44395 |  0:00:02s
epoch 13 | loss: 2.4011  | train_accuracy: 0.26043 | train_logloss: 2.35398 | val_accuracy: 0.26129 | val_logloss: 2.4078  |  0:00:02s
epoch 14 | loss: 2.36873 | train_accuracy: 0.265   | train_logloss: 2.31707 | val_accuracy: 0.26237 | val_logloss: 2.3756  |  0:00:02s
epoch 15 | loss: 2.33602 | train_accuracy: 0.27011 | train_logloss: 2.28589 | val_accuracy: 0.26559 | val_logloss: 2.34625 |  0:00:02s
epoch 16 | loss: 2.3019  | train_accuracy: 0.27684 | train_logloss: 2.25005 | val_accuracy: 0.27097 | val_logloss: 2.31047 |  0:00:02s
epoch 17 | loss: 2.25809 | train_accuracy: 0.28195 | train_logloss: 2.21704 | val_accuracy: 0.27742 | val_logloss: 2.28072 |  0:00:02s
epoch 18 | loss: 2.23497 | train_accuracy: 0.28518 | train_logloss: 2.18691 | val_accuracy: 0.28495 | val_logloss: 2.25528 |  0:00:02s
epoch 19 | loss: 2.1966  | train_accuracy: 0.29271 | train_logloss: 2.15595 | val_accuracy: 0.28495 | val_logloss: 2.22202 |  0:00:03s
epoch 20 | loss: 2.17443 | train_accuracy: 0.29917 | train_logloss: 2.13147 | val_accuracy: 0.29032 | val_logloss: 2.19163 |  0:00:03s
epoch 21 | loss: 2.14857 | train_accuracy: 0.30697 | train_logloss: 2.10854 | val_accuracy: 0.28602 | val_logloss: 2.16622 |  0:00:03s
epoch 22 | loss: 2.14199 | train_accuracy: 0.31208 | train_logloss: 2.0831  | val_accuracy: 0.28925 | val_logloss: 2.14662 |  0:00:03s
epoch 23 | loss: 2.11277 | train_accuracy: 0.31181 | train_logloss: 2.06284 | val_accuracy: 0.3     | val_logloss: 2.12539 |  0:00:03s
epoch 24 | loss: 2.08279 | train_accuracy: 0.31773 | train_logloss: 2.04209 | val_accuracy: 0.30108 | val_logloss: 2.11165 |  0:00:03s
epoch 25 | loss: 2.06543 | train_accuracy: 0.32069 | train_logloss: 2.02154 | val_accuracy: 0.30645 | val_logloss: 2.09097 |  0:00:03s
epoch 26 | loss: 2.03291 | train_accuracy: 0.32741 | train_logloss: 2.00235 | val_accuracy: 0.30645 | val_logloss: 2.06896 |  0:00:04s
epoch 27 | loss: 2.02836 | train_accuracy: 0.33091 | train_logloss: 1.98558 | val_accuracy: 0.3086  | val_logloss: 2.05488 |  0:00:04s
epoch 28 | loss: 2.01369 | train_accuracy: 0.33522 | train_logloss: 1.97078 | val_accuracy: 0.31828 | val_logloss: 2.04218 |  0:00:04s
epoch 29 | loss: 1.99079 | train_accuracy: 0.33629 | train_logloss: 1.95377 | val_accuracy: 0.31505 | val_logloss: 2.02261 |  0:00:04s
epoch 30 | loss: 1.98558 | train_accuracy: 0.34248 | train_logloss: 1.93868 | val_accuracy: 0.31505 | val_logloss: 2.00378 |  0:00:04s
epoch 31 | loss: 1.96995 | train_accuracy: 0.34679 | train_logloss: 1.92662 | val_accuracy: 0.32581 | val_logloss: 1.98939 |  0:00:04s
epoch 32 | loss: 1.94532 | train_accuracy: 0.34463 | train_logloss: 1.9102  | val_accuracy: 0.32796 | val_logloss: 1.97704 |  0:00:04s
epoch 33 | loss: 1.94216 | train_accuracy: 0.35297 | train_logloss: 1.89535 | val_accuracy: 0.32903 | val_logloss: 1.96017 |  0:00:04s
epoch 34 | loss: 1.91913 | train_accuracy: 0.35486 | train_logloss: 1.87798 | val_accuracy: 0.33871 | val_logloss: 1.94551 |  0:00:05s
epoch 35 | loss: 1.90518 | train_accuracy: 0.35728 | train_logloss: 1.86453 | val_accuracy: 0.33011 | val_logloss: 1.93395 |  0:00:05s
epoch 36 | loss: 1.89092 | train_accuracy: 0.35459 | train_logloss: 1.8502  | val_accuracy: 0.32581 | val_logloss: 1.92367 |  0:00:05s
epoch 37 | loss: 1.87702 | train_accuracy: 0.35674 | train_logloss: 1.83676 | val_accuracy: 0.33871 | val_logloss: 1.91026 |  0:00:05s
epoch 38 | loss: 1.86064 | train_accuracy: 0.364   | train_logloss: 1.81933 | val_accuracy: 0.32366 | val_logloss: 1.89275 |  0:00:05s
epoch 39 | loss: 1.85369 | train_accuracy: 0.36938 | train_logloss: 1.80383 | val_accuracy: 0.33333 | val_logloss: 1.8797  |  0:00:05s
epoch 40 | loss: 1.85    | train_accuracy: 0.37207 | train_logloss: 1.79131 | val_accuracy: 0.33548 | val_logloss: 1.86358 |  0:00:05s
epoch 41 | loss: 1.8234  | train_accuracy: 0.38284 | train_logloss: 1.77648 | val_accuracy: 0.33763 | val_logloss: 1.84767 |  0:00:06s
epoch 42 | loss: 1.80173 | train_accuracy: 0.38337 | train_logloss: 1.76226 | val_accuracy: 0.34731 | val_logloss: 1.83436 |  0:00:06s
epoch 43 | loss: 1.78792 | train_accuracy: 0.39225 | train_logloss: 1.74649 | val_accuracy: 0.34839 | val_logloss: 1.81786 |  0:00:06s
epoch 44 | loss: 1.76895 | train_accuracy: 0.39629 | train_logloss: 1.72797 | val_accuracy: 0.34731 | val_logloss: 1.80186 |  0:00:06s
epoch 45 | loss: 1.75351 | train_accuracy: 0.39898 | train_logloss: 1.71247 | val_accuracy: 0.35914 | val_logloss: 1.78652 |  0:00:06s
epoch 46 | loss: 1.74355 | train_accuracy: 0.39978 | train_logloss: 1.69691 | val_accuracy: 0.36452 | val_logloss: 1.77108 |  0:00:06s
epoch 47 | loss: 1.72402 | train_accuracy: 0.41162 | train_logloss: 1.68341 | val_accuracy: 0.37312 | val_logloss: 1.75654 |  0:00:06s
epoch 48 | loss: 1.71135 | train_accuracy: 0.4162  | train_logloss: 1.67167 | val_accuracy: 0.37742 | val_logloss: 1.74654 |  0:00:06s
epoch 49 | loss: 1.70471 | train_accuracy: 0.42131 | train_logloss: 1.65886 | val_accuracy: 0.37097 | val_logloss: 1.73356 |  0:00:07s
Stop training because you reached max_epochs = 50 with best_epoch = 49 and best_val_logloss = 1.73356
epoch 0  | loss: 3.32279 | train_accuracy: 0.05004 | train_logloss: 3.32507 | val_accuracy: 0.06022 | val_logloss: 3.33767 |  0:00:00s
epoch 1  | loss: 3.13182 | train_accuracy: 0.07345 | train_logloss: 3.06901 | val_accuracy: 0.08495 | val_logloss: 3.06824 |  0:00:00s
epoch 2  | loss: 3.00531 | train_accuracy: 0.09389 | train_logloss: 2.94801 | val_accuracy: 0.09462 | val_logloss: 2.93824 |  0:00:00s
epoch 3  | loss: 2.92335 | train_accuracy: 0.11757 | train_logloss: 2.84974 | val_accuracy: 0.12581 | val_logloss: 2.83967 |  0:00:00s
epoch 4  | loss: 2.83269 | train_accuracy: 0.13452 | train_logloss: 2.78287 | val_accuracy: 0.14409 | val_logloss: 2.77159 |  0:00:00s
epoch 5  | loss: 2.7702  | train_accuracy: 0.16842 | train_logloss: 2.71716 | val_accuracy: 0.1828  | val_logloss: 2.71589 |  0:00:00s
epoch 6  | loss: 2.70213 | train_accuracy: 0.19774 | train_logloss: 2.65758 | val_accuracy: 0.21398 | val_logloss: 2.66866 |  0:00:00s
epoch 7  | loss: 2.64812 | train_accuracy: 0.21684 | train_logloss: 2.60744 | val_accuracy: 0.23226 | val_logloss: 2.61441 |  0:00:01s
epoch 8  | loss: 2.60308 | train_accuracy: 0.22787 | train_logloss: 2.55886 | val_accuracy: 0.24194 | val_logloss: 2.56303 |  0:00:01s
epoch 9  | loss: 2.55667 | train_accuracy: 0.23191 | train_logloss: 2.51346 | val_accuracy: 0.25161 | val_logloss: 2.518   |  0:00:01s
epoch 10 | loss: 2.51015 | train_accuracy: 0.23998 | train_logloss: 2.46981 | val_accuracy: 0.26022 | val_logloss: 2.47873 |  0:00:01s
epoch 11 | loss: 2.46697 | train_accuracy: 0.24724 | train_logloss: 2.42909 | val_accuracy: 0.26559 | val_logloss: 2.4396  |  0:00:01s
epoch 12 | loss: 2.43821 | train_accuracy: 0.25101 | train_logloss: 2.38989 | val_accuracy: 0.25484 | val_logloss: 2.40395 |  0:00:01s
epoch 13 | loss: 2.39289 | train_accuracy: 0.25531 | train_logloss: 2.355   | val_accuracy: 0.26022 | val_logloss: 2.37265 |  0:00:01s
epoch 14 | loss: 2.36271 | train_accuracy: 0.25989 | train_logloss: 2.3211  | val_accuracy: 0.26559 | val_logloss: 2.34482 |  0:00:01s
epoch 15 | loss: 2.33391 | train_accuracy: 0.25908 | train_logloss: 2.2863  | val_accuracy: 0.26129 | val_logloss: 2.30651 |  0:00:02s
epoch 16 | loss: 2.29742 | train_accuracy: 0.26715 | train_logloss: 2.25273 | val_accuracy: 0.26882 | val_logloss: 2.27171 |  0:00:02s
epoch 17 | loss: 2.27248 | train_accuracy: 0.27119 | train_logloss: 2.22396 | val_accuracy: 0.26774 | val_logloss: 2.24517 |  0:00:02s
epoch 18 | loss: 2.24118 | train_accuracy: 0.27361 | train_logloss: 2.19318 | val_accuracy: 0.27204 | val_logloss: 2.21237 |  0:00:02s
epoch 19 | loss: 2.20128 | train_accuracy: 0.28087 | train_logloss: 2.1671  | val_accuracy: 0.27419 | val_logloss: 2.18463 |  0:00:02s
epoch 20 | loss: 2.1853  | train_accuracy: 0.2876  | train_logloss: 2.14209 | val_accuracy: 0.26882 | val_logloss: 2.16709 |  0:00:02s
epoch 21 | loss: 2.16277 | train_accuracy: 0.29459 | train_logloss: 2.122   | val_accuracy: 0.26989 | val_logloss: 2.1436  |  0:00:02s
epoch 22 | loss: 2.13541 | train_accuracy: 0.29997 | train_logloss: 2.10312 | val_accuracy: 0.28602 | val_logloss: 2.11874 |  0:00:03s
epoch 23 | loss: 2.11305 | train_accuracy: 0.29674 | train_logloss: 2.08755 | val_accuracy: 0.28817 | val_logloss: 2.10421 |  0:00:03s
epoch 24 | loss: 2.09951 | train_accuracy: 0.29701 | train_logloss: 2.06447 | val_accuracy: 0.30108 | val_logloss: 2.0913  |  0:00:03s
epoch 25 | loss: 2.07989 | train_accuracy: 0.30482 | train_logloss: 2.04617 | val_accuracy: 0.2957  | val_logloss: 2.07762 |  0:00:03s
epoch 26 | loss: 2.06484 | train_accuracy: 0.311   | train_logloss: 2.02816 | val_accuracy: 0.30968 | val_logloss: 2.05966 |  0:00:03s
epoch 27 | loss: 2.05504 | train_accuracy: 0.31262 | train_logloss: 2.01043 | val_accuracy: 0.30215 | val_logloss: 2.04682 |  0:00:03s
epoch 28 | loss: 2.03092 | train_accuracy: 0.32069 | train_logloss: 1.99685 | val_accuracy: 0.30645 | val_logloss: 2.03149 |  0:00:03s
epoch 29 | loss: 2.0243  | train_accuracy: 0.32768 | train_logloss: 1.97971 | val_accuracy: 0.30753 | val_logloss: 2.01806 |  0:00:03s
epoch 30 | loss: 1.99914 | train_accuracy: 0.3293  | train_logloss: 1.96348 | val_accuracy: 0.31398 | val_logloss: 2.0039  |  0:00:04s
epoch 31 | loss: 1.98639 | train_accuracy: 0.33118 | train_logloss: 1.94923 | val_accuracy: 0.3172  | val_logloss: 1.99354 |  0:00:04s
epoch 32 | loss: 1.97047 | train_accuracy: 0.33441 | train_logloss: 1.93632 | val_accuracy: 0.32258 | val_logloss: 1.97971 |  0:00:04s
epoch 33 | loss: 1.94846 | train_accuracy: 0.33602 | train_logloss: 1.92127 | val_accuracy: 0.33011 | val_logloss: 1.96927 |  0:00:04s
epoch 34 | loss: 1.93549 | train_accuracy: 0.33898 | train_logloss: 1.90447 | val_accuracy: 0.33441 | val_logloss: 1.95086 |  0:00:04s
epoch 35 | loss: 1.92111 | train_accuracy: 0.34679 | train_logloss: 1.8858  | val_accuracy: 0.33978 | val_logloss: 1.93023 |  0:00:04s
epoch 36 | loss: 1.91402 | train_accuracy: 0.35163 | train_logloss: 1.86925 | val_accuracy: 0.33763 | val_logloss: 1.91052 |  0:00:04s
epoch 37 | loss: 1.88612 | train_accuracy: 0.34867 | train_logloss: 1.85426 | val_accuracy: 0.35054 | val_logloss: 1.89831 |  0:00:05s
epoch 38 | loss: 1.87368 | train_accuracy: 0.35513 | train_logloss: 1.84051 | val_accuracy: 0.34731 | val_logloss: 1.8836  |  0:00:05s
epoch 39 | loss: 1.85168 | train_accuracy: 0.3562  | train_logloss: 1.82615 | val_accuracy: 0.35591 | val_logloss: 1.86961 |  0:00:05s
epoch 40 | loss: 1.85609 | train_accuracy: 0.36373 | train_logloss: 1.8095  | val_accuracy: 0.35806 | val_logloss: 1.85171 |  0:00:05s
epoch 41 | loss: 1.84528 | train_accuracy: 0.37234 | train_logloss: 1.79413 | val_accuracy: 0.35806 | val_logloss: 1.83296 |  0:00:05s
epoch 42 | loss: 1.8234  | train_accuracy: 0.37692 | train_logloss: 1.77921 | val_accuracy: 0.37097 | val_logloss: 1.81542 |  0:00:05s
epoch 43 | loss: 1.79758 | train_accuracy: 0.38257 | train_logloss: 1.76244 | val_accuracy: 0.38065 | val_logloss: 1.80097 |  0:00:05s
epoch 44 | loss: 1.78838 | train_accuracy: 0.39252 | train_logloss: 1.75007 | val_accuracy: 0.3828  | val_logloss: 1.79147 |  0:00:05s
epoch 45 | loss: 1.77816 | train_accuracy: 0.39467 | train_logloss: 1.7331  | val_accuracy: 0.38065 | val_logloss: 1.7829  |  0:00:06s
epoch 46 | loss: 1.75856 | train_accuracy: 0.40248 | train_logloss: 1.71789 | val_accuracy: 0.37742 | val_logloss: 1.77093 |  0:00:06s
epoch 47 | loss: 1.76593 | train_accuracy: 0.4014  | train_logloss: 1.70449 | val_accuracy: 0.37634 | val_logloss: 1.75825 |  0:00:06s
epoch 48 | loss: 1.73257 | train_accuracy: 0.40248 | train_logloss: 1.69087 | val_accuracy: 0.3914  | val_logloss: 1.73963 |  0:00:06s
epoch 49 | loss: 1.73724 | train_accuracy: 0.40624 | train_logloss: 1.67949 | val_accuracy: 0.39785 | val_logloss: 1.72804 |  0:00:06s
Stop training because you reached max_epochs = 50 with best_epoch = 49 and best_val_logloss = 1.72804
epoch 0  | loss: 3.31563 | train_accuracy: 0.05379 | train_logloss: 3.31835 | val_accuracy: 0.04198 | val_logloss: 3.33254 |  0:00:00s
epoch 1  | loss: 3.12503 | train_accuracy: 0.07531 | train_logloss: 3.0649  | val_accuracy: 0.07104 | val_logloss: 3.04101 |  0:00:00s
epoch 2  | loss: 2.99801 | train_accuracy: 0.10301 | train_logloss: 2.93505 | val_accuracy: 0.09795 | val_logloss: 2.91668 |  0:00:00s
epoch 3  | loss: 2.89413 | train_accuracy: 0.13798 | train_logloss: 2.84546 | val_accuracy: 0.12271 | val_logloss: 2.8339  |  0:00:00s
epoch 4  | loss: 2.83086 | train_accuracy: 0.15869 | train_logloss: 2.7721  | val_accuracy: 0.14316 | val_logloss: 2.77119 |  0:00:00s
epoch 5  | loss: 2.75367 | train_accuracy: 0.19204 | train_logloss: 2.70449 | val_accuracy: 0.16792 | val_logloss: 2.71194 |  0:00:00s
epoch 6  | loss: 2.69626 | train_accuracy: 0.21893 | train_logloss: 2.64599 | val_accuracy: 0.19053 | val_logloss: 2.66394 |  0:00:00s
epoch 7  | loss: 2.63545 | train_accuracy: 0.234   | train_logloss: 2.59837 | val_accuracy: 0.21313 | val_logloss: 2.62193 |  0:00:01s
epoch 8  | loss: 2.59766 | train_accuracy: 0.24072 | train_logloss: 2.55689 | val_accuracy: 0.21744 | val_logloss: 2.58688 |  0:00:01s
epoch 9  | loss: 2.55171 | train_accuracy: 0.24422 | train_logloss: 2.51359 | val_accuracy: 0.23143 | val_logloss: 2.5466  |  0:00:01s
epoch 10 | loss: 2.50992 | train_accuracy: 0.25524 | train_logloss: 2.47467 | val_accuracy: 0.2422  | val_logloss: 2.51335 |  0:00:01s
epoch 11 | loss: 2.46995 | train_accuracy: 0.26089 | train_logloss: 2.43325 | val_accuracy: 0.23466 | val_logloss: 2.47039 |  0:00:01s
epoch 12 | loss: 2.44052 | train_accuracy: 0.26627 | train_logloss: 2.39748 | val_accuracy: 0.24543 | val_logloss: 2.44502 |  0:00:01s
epoch 13 | loss: 2.40209 | train_accuracy: 0.26762 | train_logloss: 2.36034 | val_accuracy: 0.2465  | val_logloss: 2.41787 |  0:00:01s
epoch 14 | loss: 2.36816 | train_accuracy: 0.27353 | train_logloss: 2.32492 | val_accuracy: 0.25619 | val_logloss: 2.38183 |  0:00:01s
epoch 15 | loss: 2.32156 | train_accuracy: 0.27918 | train_logloss: 2.29237 | val_accuracy: 0.24758 | val_logloss: 2.34582 |  0:00:02s
epoch 16 | loss: 2.31128 | train_accuracy: 0.28214 | train_logloss: 2.25713 | val_accuracy: 0.25727 | val_logloss: 2.31595 |  0:00:02s
epoch 17 | loss: 2.27581 | train_accuracy: 0.28698 | train_logloss: 2.22503 | val_accuracy: 0.26157 | val_logloss: 2.28803 |  0:00:02s
epoch 18 | loss: 2.23986 | train_accuracy: 0.29048 | train_logloss: 2.19604 | val_accuracy: 0.27449 | val_logloss: 2.26013 |  0:00:02s
epoch 19 | loss: 2.20692 | train_accuracy: 0.29478 | train_logloss: 2.16681 | val_accuracy: 0.26803 | val_logloss: 2.24156 |  0:00:02s
epoch 20 | loss: 2.18499 | train_accuracy: 0.29424 | train_logloss: 2.14289 | val_accuracy: 0.27879 | val_logloss: 2.21704 |  0:00:02s
epoch 21 | loss: 2.15608 | train_accuracy: 0.30339 | train_logloss: 2.11849 | val_accuracy: 0.28202 | val_logloss: 2.1997  |  0:00:02s
epoch 22 | loss: 2.13991 | train_accuracy: 0.30635 | train_logloss: 2.099   | val_accuracy: 0.27772 | val_logloss: 2.1792  |  0:00:03s
epoch 23 | loss: 2.11161 | train_accuracy: 0.3128  | train_logloss: 2.0803  | val_accuracy: 0.2831  | val_logloss: 2.16087 |  0:00:03s
epoch 24 | loss: 2.09817 | train_accuracy: 0.31818 | train_logloss: 2.05567 | val_accuracy: 0.28525 | val_logloss: 2.14105 |  0:00:03s
epoch 25 | loss: 2.08674 | train_accuracy: 0.31818 | train_logloss: 2.03564 | val_accuracy: 0.29171 | val_logloss: 2.12    |  0:00:03s
epoch 26 | loss: 2.07074 | train_accuracy: 0.32356 | train_logloss: 2.01944 | val_accuracy: 0.29925 | val_logloss: 2.09345 |  0:00:03s
