number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lambda_sparse,params_learning_rate,params_n_a,params_n_d,params_n_steps,state
0,0.38777712189080643,2025-04-27 23:37:55.271425,2025-04-27 23:38:29.673905,0 days 00:00:34.402480,256,1.9935815359960574,0.0001877617399799128,0.000692226370204052,15,11,2,COMPLETE
1,0.527003715406785,2025-04-27 23:38:29.674151,2025-04-27 23:39:16.512793,0 days 00:00:46.838642,256,1.3241516637982318,0.0009021798537197697,0.0022444383110845675,59,49,4,COMPLETE
2,0.5211970323043624,2025-04-27 23:39:16.513013,2025-04-27 23:39:59.695793,0 days 00:00:43.182780,256,1.3069064646532347,0.0014970819248193224,0.002668994485460326,18,19,3,COMPLETE
3,0.5313064111022374,2025-04-27 23:39:59.696008,2025-04-27 23:42:38.842332,0 days 00:02:39.146324,64,1.5621010314644768,0.0002991743674126023,0.004707317406845521,21,49,4,COMPLETE
4,0.3109533895852865,2025-04-27 23:42:38.842553,2025-04-27 23:46:13.628520,0 days 00:03:34.785967,64,1.2113103103742877,0.0006478485173697001,0.0001141809061975274,31,10,5,COMPLETE
5,0.5250673055777401,2025-04-27 23:46:13.628742,2025-04-27 23:46:59.258812,0 days 00:00:45.630070,256,1.0440076255660768,0.0006614528324421624,0.0028343587483688833,57,28,4,COMPLETE
6,0.5166767364607567,2025-04-27 23:46:59.259052,2025-04-27 23:50:15.232680,0 days 00:03:15.973628,64,1.749894876215048,0.002051338810832497,0.0015734499748937252,61,39,5,COMPLETE
7,0.3869136659837726,2025-04-27 23:50:15.232905,2025-04-27 23:51:31.412527,0 days 00:01:16.179622,128,1.906364292088428,0.0004345307394602817,0.00017379455814216596,33,30,3,COMPLETE
8,0.5078521244950635,2025-04-27 23:51:31.412770,2025-04-27 23:57:26.134829,0 days 00:05:54.722059,32,1.9033115450090308,0.0016522452996668457,0.0004356697192482648,60,32,4,COMPLETE
9,0.5110827922265819,2025-04-27 23:57:26.135058,2025-04-28 00:04:31.595649,0 days 00:07:05.460591,32,1.338310870329992,0.0007027522870843377,0.0002715270835745897,50,48,5,COMPLETE
10,0.5293709272312697,2025-04-28 00:04:31.595878,2025-04-28 00:05:36.482442,0 days 00:01:04.886564,64,1.6203723483007826,0.007511041659707295,0.006614326361558759,25,63,2,COMPLETE
11,0.5442198224475386,2025-04-28 00:05:36.482662,2025-04-28 00:06:52.593198,0 days 00:01:16.110536,64,1.5978815832275914,0.007976193392562623,0.009265245249399959,23,64,2,COMPLETE
12,0.5341023415164878,2025-04-28 00:06:52.593424,2025-04-28 00:08:24.825070,0 days 00:01:32.231646,64,1.5442781835193327,0.008804992858552777,0.008573078422974287,41,63,3,COMPLETE
13,0.5384112874289616,2025-04-28 00:08:24.825321,2025-04-28 00:09:34.967671,0 days 00:01:10.142350,64,1.7160386948978141,0.009969887568754218,0.00902793010278725,42,63,2,COMPLETE
14,0.5358313367362293,2025-04-28 00:09:34.967893,2025-04-28 00:10:13.770992,0 days 00:00:38.803099,128,1.693169731182511,0.0041894985098684156,0.009787174663756216,9,56,2,COMPLETE
15,0.5390562172297649,2025-04-28 00:10:13.771216,2025-04-28 00:11:36.512885,0 days 00:01:22.741669,64,1.7631660402580782,0.0036042882119011743,0.004638557847962496,42,58,2,COMPLETE
16,0.534320636133199,2025-04-28 00:11:36.513144,2025-04-28 00:13:18.402745,0 days 00:01:41.889601,64,1.4284156955568168,0.003965806604184208,0.00424393070907839,48,55,3,COMPLETE
17,0.5334655138488605,2025-04-28 00:13:18.402976,2025-04-28 00:15:01.674514,0 days 00:01:43.271538,64,1.8181526565347619,0.0031656550097739684,0.0009418256361649134,30,41,2,COMPLETE
18,0.5244191349236663,2025-04-28 00:15:01.674733,2025-04-28 00:15:35.836917,0 days 00:00:34.162184,128,1.4403106904724128,0.005593404801988141,0.005057227855614417,39,54,2,COMPLETE
19,0.5351803882079238,2025-04-28 00:15:35.837147,2025-04-28 00:19:52.364959,0 days 00:04:16.527812,32,1.6174165476260352,0.002378661801934898,0.0015140655002601109,26,44,3,COMPLETE
20,0.5351833975716749,2025-04-28 00:19:52.365186,2025-04-28 00:21:12.347356,0 days 00:01:19.982170,64,1.7987331769723125,0.0052838520083308416,0.0035812349983563602,47,58,2,COMPLETE
21,0.5381964651550402,2025-04-28 00:21:12.347583,2025-04-28 00:22:16.619947,0 days 00:01:04.272364,64,1.7040126307388763,0.00993934138942387,0.006556726191804058,43,64,2,COMPLETE
22,0.5392682616294546,2025-04-28 00:22:16.620174,2025-04-28 00:23:27.072805,0 days 00:01:10.452631,64,1.6787951057916521,0.007155349933508142,0.009801354343147184,37,59,2,COMPLETE
23,0.5287271548780629,2025-04-28 00:23:27.073028,2025-04-28 00:24:58.282378,0 days 00:01:31.209350,64,1.6283567166052644,0.006430035783524368,0.006737867109949948,36,58,3,COMPLETE
24,0.5360426866673611,2025-04-28 00:24:58.282598,2025-04-28 00:26:13.836352,0 days 00:01:15.553754,64,1.4782131008876276,0.0029353328659869607,0.005534669403297562,53,52,2,COMPLETE
25,0.5394879451832818,2025-04-28 00:26:13.836591,2025-04-28 00:27:29.017479,0 days 00:01:15.180888,64,1.8814515139537167,0.004476529489596367,0.00980125954517545,36,60,2,COMPLETE
26,0.538411518918481,2025-04-28 00:27:29.017697,2025-04-28 00:29:08.395125,0 days 00:01:39.377428,64,1.875889179501787,0.00011421947005652719,0.009862325636676042,27,45,3,COMPLETE
27,0.5239936571871708,2025-04-28 00:29:08.395354,2025-04-28 00:29:50.976880,0 days 00:00:42.581526,128,1.9566404774302757,0.005224157564362522,0.003615069880546071,35,60,2,COMPLETE
28,0.5366869219996065,2025-04-28 00:29:50.977113,2025-04-28 00:34:19.859201,0 days 00:04:28.882088,32,1.8448562229815233,0.0014061934217351275,0.0018453368829419402,10,52,3,COMPLETE
29,0.43446763197796223,2025-04-28 00:34:19.859425,2025-04-28 00:34:53.794989,0 days 00:00:33.935564,256,1.6656659055163932,0.005918972829925829,0.0007246426781369528,21,19,2,COMPLETE
30,0.5394860932671274,2025-04-28 00:34:53.795216,2025-04-28 00:36:03.920087,0 days 00:01:10.124871,64,1.9268174808632266,0.007332241686708868,0.007362659147635729,12,60,2,COMPLETE
31,0.5397006840515296,2025-04-28 00:36:03.920310,2025-04-28 00:37:23.318059,0 days 00:01:19.397749,64,1.9605283759579493,0.00719387549734355,0.006932817026679139,14,60,2,COMPLETE
32,0.539702535967684,2025-04-28 00:37:23.318298,2025-04-28 00:38:46.365038,0 days 00:01:23.046740,64,1.9995315499365451,0.0045402614560779864,0.006821643782383876,14,61,2,COMPLETE
