Starting hyperparameter optimization...
epoch 0  | loss: 2.6078  | train_accuracy: 0.23675 | train_logloss: 2.03695 | val_accuracy: 0.20753 | val_logloss: 2.0734  |  0:00:00s
epoch 1  | loss: 2.24223 | train_accuracy: 0.3336  | train_logloss: 1.97501 | val_accuracy: 0.32688 | val_logloss: 2.00007 |  0:00:01s
epoch 2  | loss: 2.08499 | train_accuracy: 0.34867 | train_logloss: 1.92788 | val_accuracy: 0.34516 | val_logloss: 1.95063 |  0:00:02s
epoch 3  | loss: 2.0097  | train_accuracy: 0.34813 | train_logloss: 1.90812 | val_accuracy: 0.34946 | val_logloss: 1.93302 |  0:00:03s
epoch 4  | loss: 1.97519 | train_accuracy: 0.35082 | train_logloss: 1.92181 | val_accuracy: 0.35269 | val_logloss: 1.92581 |  0:00:04s
epoch 5  | loss: 1.97029 | train_accuracy: 0.35378 | train_logloss: 1.9044  | val_accuracy: 0.34516 | val_logloss: 1.91823 |  0:00:05s
epoch 6  | loss: 1.92782 | train_accuracy: 0.33441 | train_logloss: 1.91435 | val_accuracy: 0.31398 | val_logloss: 1.97631 |  0:00:06s
epoch 7  | loss: 1.9147  | train_accuracy: 0.35997 | train_logloss: 1.86739 | val_accuracy: 0.34946 | val_logloss: 1.9074  |  0:00:06s
epoch 8  | loss: 1.90391 | train_accuracy: 0.35835 | train_logloss: 1.85328 | val_accuracy: 0.35914 | val_logloss: 1.89375 |  0:00:07s
epoch 9  | loss: 1.8953  | train_accuracy: 0.35432 | train_logloss: 1.87441 | val_accuracy: 0.34516 | val_logloss: 1.91044 |  0:00:08s
epoch 10 | loss: 1.87727 | train_accuracy: 0.35997 | train_logloss: 1.86546 | val_accuracy: 0.35591 | val_logloss: 1.93059 |  0:00:09s
epoch 11 | loss: 1.88104 | train_accuracy: 0.36427 | train_logloss: 1.87586 | val_accuracy: 0.35914 | val_logloss: 1.92478 |  0:00:10s
epoch 12 | loss: 1.86379 | train_accuracy: 0.35755 | train_logloss: 1.8618  | val_accuracy: 0.36344 | val_logloss: 1.92029 |  0:00:11s
epoch 13 | loss: 1.86831 | train_accuracy: 0.36642 | train_logloss: 1.84111 | val_accuracy: 0.36559 | val_logloss: 1.89707 |  0:00:11s
epoch 14 | loss: 1.8584  | train_accuracy: 0.36938 | train_logloss: 1.81767 | val_accuracy: 0.36452 | val_logloss: 1.8613  |  0:00:12s
epoch 15 | loss: 1.84652 | train_accuracy: 0.37127 | train_logloss: 1.82302 | val_accuracy: 0.36882 | val_logloss: 1.87249 |  0:00:13s
epoch 16 | loss: 1.84644 | train_accuracy: 0.3675  | train_logloss: 1.8348  | val_accuracy: 0.35914 | val_logloss: 1.88632 |  0:00:14s
epoch 17 | loss: 1.84186 | train_accuracy: 0.37127 | train_logloss: 1.8135  | val_accuracy: 0.36129 | val_logloss: 1.8545  |  0:00:15s
