number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lambda_sparse,params_learning_rate,params_n_a,params_n_d,params_n_steps,state
0,0.3763711702952649,2025-04-28 05:26:20.654544,2025-04-28 05:29:03.082518,0 days 00:02:42.427974,64,1.5704634037722518,0.0004938582296887154,0.0030101644733196895,59,25,5,COMPLETE
1,0.3649668391263586,2025-04-28 05:29:03.082742,2025-04-28 05:31:25.424340,0 days 00:02:22.341598,64,1.4141688964613404,0.00021392610557232684,0.0003208957549050432,40,35,3,COMPLETE
2,0.38132319409238746,2025-04-28 05:31:25.424564,2025-04-28 05:34:04.954316,0 days 00:02:39.529752,32,1.2764378408011499,0.002347561597100802,0.002884537134785418,56,38,2,COMPLETE
3,0.3628151440443534,2025-04-28 05:34:04.954534,2025-04-28 05:35:52.980888,0 days 00:01:48.026354,64,1.4665601294659063,0.002136790590559986,0.0004051486190350772,40,20,2,COMPLETE
4,0.3658289060962765,2025-04-28 05:35:52.981109,2025-04-28 05:36:46.064582,0 days 00:00:53.083473,256,1.2760524131588633,0.0021544336257777424,0.001102337728190253,35,50,5,COMPLETE
5,0.2797483708925078,2025-04-28 05:36:46.064825,2025-04-28 05:37:51.504153,0 days 00:01:05.439328,64,1.8168517903988042,0.0016022432869040165,0.00019515876894196592,31,48,5,COMPLETE
6,0.3638892554139611,2025-04-28 05:37:51.504381,2025-04-28 05:38:52.291453,0 days 00:01:00.787072,128,1.6214075267178536,0.00022336684878972645,0.001792554528970475,19,51,4,COMPLETE
7,0.15861546118499487,2025-04-28 05:38:52.291681,2025-04-28 05:39:36.325117,0 days 00:00:44.033436,128,1.5359574139771432,0.00021786926909269445,0.0001875270137591752,48,11,5,COMPLETE
8,0.36302950333923634,2025-04-28 05:39:36.325347,2025-04-28 05:40:35.106017,0 days 00:00:58.780670,128,1.3410276190275034,0.0003581958415812102,0.00012795117967571556,13,54,2,COMPLETE
9,0.37787978749262124,2025-04-28 05:40:35.106244,2025-04-28 05:43:48.140283,0 days 00:03:13.034039,32,1.0251640711938714,0.00011260075393429602,0.0010286399986111467,27,30,2,COMPLETE
10,0.38325821498431656,2025-04-28 05:43:48.140511,2025-04-28 05:47:13.097393,0 days 00:03:24.956882,32,1.099346319699319,0.009873473053965576,0.00783575993145236,64,62,3,COMPLETE
11,0.3800314825746264,2025-04-28 05:47:13.097616,2025-04-28 05:49:58.946261,0 days 00:02:45.848645,32,1.0896943550092624,0.008684378174187258,0.00935334664920774,61,63,3,COMPLETE
12,0.38175353310878857,2025-04-28 05:49:58.946495,2025-04-28 05:53:22.154548,0 days 00:03:23.208053,32,1.1386053982055309,0.009613179941097805,0.007837406695479126,51,41,3,COMPLETE
13,0.38089123464935126,2025-04-28 05:53:22.154779,2025-04-28 05:56:35.773176,0 days 00:03:13.618397,32,1.1585772709162183,0.009285044799478274,0.008933864514039911,49,63,3,COMPLETE
14,0.3804622845700661,2025-04-28 05:56:35.773398,2025-04-28 06:00:56.156429,0 days 00:04:20.383031,32,1.190801603428409,0.0046074070391538624,0.004646274248974313,64,42,4,COMPLETE
15,0.3716358206882184,2025-04-28 06:00:56.156659,2025-04-28 06:01:23.090310,0 days 00:00:26.933651,256,1.0214465258998982,0.004887801792612059,0.005517307550698721,49,57,3,COMPLETE
16,0.3791701100732664,2025-04-28 06:01:23.090537,2025-04-28 06:06:09.010802,0 days 00:04:45.920265,32,1.7593734023210417,0.004196261870615963,0.004989039066004884,53,45,4,COMPLETE
17,0.3778800189821405,2025-04-28 06:06:09.011036,2025-04-28 06:10:15.545664,0 days 00:04:06.534628,32,1.956916135778616,0.0009723882710775397,0.0023072326294768424,44,17,3,COMPLETE
18,0.36776531592532147,2025-04-28 06:10:15.545898,2025-04-28 06:15:43.690016,0 days 00:05:28.144118,32,1.1730478243315996,0.00997840288684782,0.0005874802139958833,54,33,4,COMPLETE
19,0.3772332372651828,2025-04-28 06:15:43.690262,2025-04-28 06:16:13.241983,0 days 00:00:29.551721,256,1.345766126494179,0.005592409127338836,0.006877930391862013,64,59,3,COMPLETE
20,0.37615866291653643,2025-04-28 06:16:13.242206,2025-04-28 06:21:23.730882,0 days 00:05:10.488676,32,1.1095841464594192,0.0009750749831579437,0.001451637980083067,57,40,4,COMPLETE
21,0.3806778013125455,2025-04-28 06:21:23.731111,2025-04-28 06:23:48.668865,0 days 00:02:24.937754,32,1.2693671969613103,0.002821339150750798,0.0031112369507565996,56,40,2,COMPLETE
22,0.376373485190458,2025-04-28 06:23:48.669092,2025-04-28 06:26:17.443314,0 days 00:02:28.774222,32,1.2460153244387486,0.006531908485036293,0.003644477476717872,54,28,2,COMPLETE
23,0.3798155028531084,2025-04-28 06:26:17.443541,2025-04-28 06:28:51.046003,0 days 00:02:33.602462,32,1.068370786378571,0.0035775696946456674,0.006978706218973407,60,37,2,COMPLETE
24,0.38282926490503144,2025-04-28 06:28:51.046236,2025-04-28 06:32:21.162843,0 days 00:03:30.116607,32,1.3564586404906285,0.00145288377047846,0.009730210955960104,45,45,3,COMPLETE
