number,value,datetime_start,datetime_complete,duration,params_knn_weight,params_nn_weight,params_rf_weight,params_tabnet_weight,state
0,0.5180722891566265,2025-04-28 23:03:37.309070,2025-04-28 23:03:37.327550,0 days 00:00:00.018480,0.7935618250126603,0.1713765841548761,0.7967061153376565,0.9104648780041198,COMPLETE
1,0.5060240963855421,2025-04-28 23:03:37.327788,2025-04-28 23:03:37.345443,0 days 00:00:00.017655,0.7935610153486364,0.39119681147048346,0.38310072053562383,0.28450711790632843,COMPLETE
2,0.5335628227194492,2025-04-28 23:03:37.345668,2025-04-28 23:03:37.363505,0 days 00:00:00.017837,0.35544442950417043,0.7884020444893103,0.4684559602838786,0.77800796039994,COMPLETE
3,0.5301204819277109,2025-04-28 23:03:37.363726,2025-04-28 23:03:37.381607,0 days 00:00:00.017881,0.41898261090033895,0.46054851505631456,0.5542642348725587,0.519704880438963,COMPLETE
4,0.5327022375215146,2025-04-28 23:03:37.381839,2025-04-28 23:03:37.399402,0 days 00:00:00.017563,0.47018856891425476,0.9605435615527055,0.36111263483369815,0.2474405835480521,COMPLETE
5,0.5249569707401033,2025-04-28 23:03:37.399626,2025-04-28 23:03:37.417300,0 days 00:00:00.017674,0.9478797456804352,0.30426994050916434,0.09740438082701863,0.8692119697848689,COMPLETE
6,0.5301204819277109,2025-04-28 23:03:37.417527,2025-04-28 23:03:37.435416,0 days 00:00:00.017889,0.3146752167297042,0.5933015774490624,0.8787273399695892,0.8057446844713938,COMPLETE
7,0.5327022375215146,2025-04-28 23:03:37.435641,2025-04-28 23:03:37.453451,0 days 00:00:00.017810,0.3982929763743742,0.7810537630293634,0.16028960735597775,0.3660328760887862,COMPLETE
8,0.5197934595524957,2025-04-28 23:03:37.453678,2025-04-28 23:03:37.471350,0 days 00:00:00.017672,0.665465047171737,0.7280463379843092,0.9498609248142584,0.7058455157421887,COMPLETE
9,0.5146299483648882,2025-04-28 23:03:37.471583,2025-04-28 23:03:37.489246,0 days 00:00:00.017663,0.08580672119131849,0.21969260000695823,0.9207952141060077,0.06229946718457324,COMPLETE
10,0.5378657487091222,2025-04-28 23:03:37.489465,2025-04-28 23:03:37.524143,0 days 00:00:00.034678,0.13493424734216913,0.976045388086521,0.6195236388613987,0.6168635431665891,COMPLETE
11,0.5378657487091222,2025-04-28 23:03:37.524370,2025-04-28 23:03:37.547900,0 days 00:00:00.023530,0.08577709804468739,0.9984201735062115,0.62077123022646,0.6157099417294318,COMPLETE
